,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
0,1,"Luukkonen, Ukko-Pekka",24,Stnd,RFA,"$837,500 ",54,3081,1470,1338,0.91,2.57,"$15,509 ",$271 ,$625 
1,2,"Thompson, Logan",26,Stnd,UFA,"$766,667 ",46,2645,1298,1179,0.908,2.7,"$16,666 ",$289 ,$650 
2,3,"Dostal, Lukas",23,Stnd,RFA,"$812,500 ",44,2322,1310,1181,0.902,3.33,"$18,465 ",$349 ,$687 
3,4,"Talbot, Cam",36,35+,UFA,"$1,000,000 ",54,3116,1490,1360,0.913,2.5,"$18,518 ",$320 ,$735 
4,5,"Lyon, Alex",31,Stnd,UFA,"$900,000 ",44,2498,1325,1198,0.904,3.05,"$20,454 ",$360 ,$751 
5,6,"Ersson, Samuel",24,ELC,RFA,"$859,167 ",51,2809,1204,1072,0.89,2.82,"$16,846 ",$305 ,$801 
6,7,"Lindgren, Charlie",30,Stnd,UFA,"$1,100,000 ",50,2852,1431,1304,0.911,2.67,"$22,000 ",$385 ,$843 
7,8,"Montembeault, Samuel",27,Stnd,UFA,"$1,000,000 ",41,2428,1307,1180,0.903,3.14,"$24,390 ",$411 ,$847 
8,9,"Daccord, Joey",27,Stnd,UFA,"$1,200,000 ",50,2832,1374,1258,0.916,2.46,"$24,000 ",$423 ,$953 
9,10,"Hofer, Joel",23,Stnd,RFA,"$775,000 ",30,1628,830,758,0.913,2.65,"$25,833 ",$476 ,"$1,022 "
10,11,"Woll, Joseph",25,Stnd,RFA,"$766,667 ",25,1471,772,700,0.907,2.94,"$30,666 ",$521 ,"$1,095 "
11,12,"Johansson, Jonas",28,Stnd,UFA,"$775,000 ",26,1477,752,669,0.89,3.37,"$29,807 ",$524 ,"$1,158 "
12,13,"Söderblom, Arvid",24,Stnd,RFA,"$962,500 ",32,1744,942,828,0.879,3.92,"$30,078 ",$551 ,"$1,162 "
13,14,"Quick, Jonathan",37,35+,UFA,"$825,000 ",27,1582,771,702,0.911,2.62,"$30,555 ",$521 ,"$1,175 "
14,15,"Wedgewood, Scott",31,Stnd,UFA,"$1,000,000 ",32,1789,844,759,0.899,2.85,"$31,250 ",$558 ,"$1,317 "
15,16,"Primeau, Cayden",24,Stnd,RFA,"$890,000 ",23,1324,731,665,0.91,2.99,"$38,695 ",$672 ,"$1,338 "
16,17,"Pickard, Calvin",31,Stnd,UFA,"$762,500 ",23,1296,581,528,0.909,2.45,"$33,152 ",$588 ,"$1,444 "
17,18,"Tarasov, Daniil",24,Stnd,RFA,"$1,050,000 ",24,1376,796,723,0.908,3.18,"$43,750 ",$763 ,"$1,452 "
18,19,"Ingram, Connor",26,Stnd,UFA,"$1,950,000 ",50,2802,1461,1325,0.907,2.91,"$39,000 ",$695 ,"$1,471 "
19,20,"Rittich, David",31,Stnd,UFA,"$875,000 ",24,1364,621,572,0.921,2.16,"$36,458 ",$641 ,"$1,529 "
20,21,"Levi, Devon",22,ELC,RFA,"$925,000 ",23,1294,666,599,0.899,3.11,"$40,217 ",$714 ,"$1,544 "
21,22,"Nedeljkovic, Alex",27,Stnd,UFA,"$1,500,000 ",38,2060,1039,937,0.902,2.97,"$39,473 ",$728 ,"$1,600 "
22,23,"Martin, Spencer",28,Stnd,UFA,"$762,500 ",19,1072,533,474,0.889,3.3,"$40,131 ",$711 ,"$1,608 "
23,24,"Daws, Nico",23,ELC,RFA,"$850,833 ",21,1144,568,508,0.894,3.15,"$40,515 ",$743 ,"$1,674 "
24,25,"Jones, Martin",33,Stnd,UFA,"$875,000 ",22,1169,574,518,0.902,2.87,"$39,772 ",$748 ,"$1,689 "
