,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
0,1,"Skinner, Stuart",24,Stnd,RFA,"$750,000 ",50,2903,1536,1403,0.913,2.75,"$15,000 ",$258 ,$534 
1,2,"Gustavsson, Filip",24,Stnd,RFA,"$787,500 ",39,2310,1173,1092,0.931,2.1,"$20,192 ",$340 ,$721 
2,3,"Thompson, Logan",25,Stnd,UFA,"$766,667 ",37,2171,1132,1036,0.915,2.65,"$20,720 ",$353 ,$740 
3,4,"Montembeault, Samuel",26,Stnd,UFA,"$1,000,000 ",40,2333,1345,1212,0.901,3.42,"$25,000 ",$428 ,$825 
4,5,"Ingram, Connor",25,Stnd,RFA,"$733,333 ",27,1586,960,871,0.907,3.37,"$27,160 ",$462 ,$841 
5,6,"Luukkonen, Ukko-Pekka",23,Stnd,RFA,"$837,500 ",33,1910,1054,939,0.891,3.61,"$25,378 ",$438 ,$891 
6,7,"Copley, Pheonix",30,Stnd,UFA,"$825,000 ",37,2089,947,855,0.903,2.64,"$22,297 ",$394 ,$964 
7,8,"Stalock, Alex",35,Stnd,UFA,"$750,000 ",27,1475,804,730,0.908,3.01,"$27,777 ",$508 ,"$1,027 "
8,9,"Martin, Spencer",27,Stnd,UFA,"$762,500 ",29,1610,830,723,0.871,3.99,"$26,293 ",$473 ,"$1,054 "
9,10,"Swayman, Jeremy",24,ELC,RFA,"$925,000 ",37,2012,953,877,0.92,2.27,"$25,000 ",$459 ,"$1,054 "
10,11,"Korpisalo, Joonas",28,Stnd,UFA,"$1,300,000 ",39,2171,1206,1102,0.914,2.87,"$33,333 ",$598 ,"$1,179 "
11,12,"Vladar, Daniel",25,Stnd,RFA,"$750,000 ",27,1483,667,595,0.892,2.91,"$27,777 ",$505 ,"$1,260 "
12,13,"Dostal, Lukas",22,ELC,RFA,"$822,500 ",19,1062,679,612,0.901,3.79,"$43,289 ",$774 ,"$1,343 "
13,14,"Lindgren, Charlie",29,Stnd,UFA,"$1,100,000 ",31,1692,853,767,0.899,3.05,"$35,483 ",$650 ,"$1,434 "
14,15,"Elliott, Brian",37,35+,UFA,"$900,000 ",22,1324,689,614,0.891,3.4,"$40,909 ",$679 ,"$1,465 "
15,16,"Kochetkov, Pyotr",23,ELC,RFA,"$842,500 ",24,1403,627,570,0.909,2.44,"$35,104 ",$600 ,"$1,478 "
16,17,"Sandström, Felix",25,Stnd,UFA,"$775,000 ",20,1112,575,506,0.88,3.72,"$38,750 ",$696 ,"$1,531 "
17,18,"Delia, Collin",28,Stnd,UFA,"$750,000 ",20,1135,526,464,0.882,3.28,"$37,500 ",$660 ,"$1,616 "
