,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
44,45,"Koskinen, Mikko",31,Stnd,UFA,"$4,500,000 ",38,2116,1175,1078,0.917,2.75,"$118,421 ","$2,126 ","$4,174 "
45,46,"Varlamov, Semyon",31,Stnd,UFA,"$5,000,000 ",45,2517,1278,1168,0.914,2.62,"$111,111 ","$1,986 ","$4,280 "
46,47,"Greiss, Thomas",33,Stnd,UFA,"$3,333,333 ",31,1595,838,765,0.913,2.75,"$107,526 ","$2,089 ","$4,357 "
47,48,"Lehner, Robin",28,Stnd,UFA,"$5,000,000 ",36,2055,1235,1136,0.92,2.89,"$138,888 ","$2,433 ","$4,401 "
48,49,"Raanta, Antti",30,Stnd,UFA,"$4,250,000 ",33,1822,1014,934,0.921,2.63,"$128,787 ","$2,332 ","$4,550 "
49,50,"Nilsson, Anders",29,Stnd,UFA,"$2,600,000 ",20,1093,628,570,0.908,3.18,"$130,000 ","$2,378 ","$4,561 "
50,51,"Gibson, John",26,Stnd,UFA,"$6,400,000 ",51,2981,1552,1403,0.904,3,"$125,490 ","$2,146 ","$4,561 "
51,52,"Lindgren, Charlie",26,Stnd,UFA,"$750,000 ",6,360,178,158,0.888,3.33,"$125,000 ","$2,083 ","$4,746 "
52,53,"Kähkönen, Kaapo",23,ELC,RFA,"$767,500 ",5,304,172,157,0.913,2.96,"$153,500 ","$2,524 ","$4,888 "
53,54,"Holtby, Braden",30,Stnd,UFA,"$6,100,000 ",48,2743,1385,1243,0.898,3.11,"$127,083 ","$2,223 ","$4,907 "
54,55,"Crawford, Corey",35,Stnd,UFA,"$6,000,000 ",40,2340,1294,1186,0.917,2.77,"$150,000 ","$2,564 ","$5,059 "
55,56,"Anderson, Craig",38,35+,UFA,"$4,750,000 ",34,1845,1018,918,0.902,3.25,"$139,705 ","$2,574 ","$5,174 "
56,57,"Reimer, James",31,Stnd,UFA,"$3,400,000 ",25,1378,712,651,0.914,2.66,"$136,000 ","$2,467 ","$5,222 "
57,58,"Quick, Jonathan",33,Stnd,UFA,"$5,800,000 ",42,2516,1224,1107,0.904,2.79,"$138,095 ","$2,305 ","$5,239 "
58,59,"Fleury, Marc-André",35,Stnd,UFA,"$7,000,000 ",49,2880,1399,1266,0.905,2.77,"$142,857 ","$2,430 ","$5,529 "
59,60,"Howard, Jimmy",35,35+,UFA,"$4,000,000 ",27,1371,817,721,0.883,4.2,"$148,148 ","$2,917 ","$5,547 "
60,61,"Rinne, Pekka",37,35+,UFA,"$5,000,000 ",36,1987,1004,899,0.895,3.17,"$138,888 ","$2,516 ","$5,561 "
61,62,"Johansson, Jonas",24,ELC,RFA,"$759,167 ",6,326,151,135,0.894,2.94,"$126,527 ","$2,328 ","$5,623 "
62,63,"Jones, Martin",29,Stnd,UFA,"$5,750,000 ",41,2359,1139,1021,0.896,3,"$140,243 ","$2,437 ","$5,631 "
63,64,"Dubnyk, Devan",33,Stnd,UFA,"$4,333,333 ",30,1664,849,756,0.891,3.35,"$144,444 ","$2,604 ","$5,731 "
64,65,"Rask, Tuukka",32,Stnd,UFA,"$7,000,000 ",41,2401,1189,1104,0.929,2.12,"$170,731 ","$2,915 ","$6,340 "
65,66,"Price, Carey",32,Stnd,UFA,"$10,500,000 ",58,3439,1755,1595,0.909,2.79,"$181,034 ","$3,053 ","$6,583 "
66,67,"Allen, Jake",29,Stnd,UFA,"$4,350,000 ",24,1339,655,607,0.927,2.15,"$181,250 ","$3,248 ","$7,166 "
67,68,"Bobrovsky, Sergei",31,Stnd,UFA,"$10,000,000 ",50,2805,1505,1354,0.9,3.23,"$200,000 ","$3,565 ","$7,385 "
68,69,"Kivlenieks, Matiss",23,ELC,RFA,"$925,000 ",6,284,137,123,0.898,2.96,"$154,166 ","$3,257 ","$7,520 "
69,70,"Kinkaid, Keith",30,Stnd,UFA,"$1,750,000 ",6,339,192,168,0.875,4.25,"$291,666 ","$5,162 ","$10,416 "
70,71,"Lundqvist, Henrik",37,Stnd,UFA,"$8,500,000 ",30,1596,883,799,0.905,3.16,"$283,333 ","$5,325 ","$10,638 "
71,72,"Schneider, Cory",33,Stnd,UFA,"$6,000,000 ",13,679,355,315,0.887,3.53,"$461,538 ","$8,836 ","$19,047 "
