,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
0,1,"Lankinen, Kevin",25,Stnd,UFA,"$800,000 ",37,2174,1204,1095,0.91,3.01,"$21,621 ",$367 ,$730 
1,2,"Vanecek, Vitek",24,Stnd,RFA,"$716,667 ",37,2115,1031,936,0.908,2.7,"$19,369 ",$338 ,$765 
2,3,"Petersen, Cal",26,Stnd,UFA,"$858,333 ",35,2015,1095,998,0.911,2.89,"$24,523 ",$425 ,$860 
3,4,"Demko, Thatcher",25,Stnd,RFA,"$1,050,000 ",35,2086,1164,1065,0.915,2.85,"$30,000 ",$503 ,$985 
4,5,"Shesterkin, Igor",25,ELC,RFA,"$925,000 ",35,1899,987,904,0.916,2.62,"$26,428 ",$487 ,"$1,023 "
5,6,"Hart, Carter",22,ELC,RFA,"$730,833 ",27,1456,721,632,0.877,3.67,"$27,067 ",$501 ,"$1,156 "
6,7,"Kähkönen, Kaapo",24,Stnd,RFA,"$725,000 ",24,1414,692,624,0.902,2.89,"$30,208 ",$512 ,"$1,161 "
7,8,"Nedeljkovic, Alex",24,Stnd,RFA,"$737,500 ",23,1392,648,604,0.932,1.9,"$32,065 ",$529 ,"$1,221 "
8,9,"Oettinger, Jake",22,ELC,RFA,"$925,000 ",29,1604,710,647,0.911,2.36,"$31,896 ",$576 ,"$1,429 "
9,10,"Driedger, Chris",26,Stnd,UFA,"$850,000 ",23,1361,640,593,0.927,2.07,"$36,956 ",$624 ,"$1,433 "
10,11,"Saros, Juuse",25,Stnd,RFA,"$1,500,000 ",36,2051,1073,995,0.927,2.28,"$41,666 ",$731 ,"$1,507 "
11,12,"Hill, Adin",24,Stnd,RFA,"$800,000 ",19,1005,530,484,0.913,2.75,"$42,105 ",$796 ,"$1,652 "
12,13,"Wedgewood, Scott",28,Stnd,UFA,"$700,000 ",16,888,458,412,0.9,3.11,"$43,750 ",$788 ,"$1,699 "
13,14,"Smith, Mike",38,35+,UFA,"$1,500,000 ",32,1846,921,850,0.923,2.31,"$46,875 ",$812 ,"$1,764 "
14,15,"Tokarski, Dustin",31,Stnd,UFA,"$725,000 ",13,729,447,404,0.904,3.54,"$55,769 ",$994 ,"$1,794 "
15,16,"Husso, Ville",25,Stnd,UFA,"$750,000 ",17,917,460,411,0.894,3.21,"$44,117 ",$817 ,"$1,824 "
16,17,"Subban, Malcolm",27,Stnd,UFA,"$850,000 ",16,881,471,424,0.9,3.2,"$53,125 ",$964 ,"$2,004 "
17,18,"Johansson, Jonas",25,Stnd,UFA,"$700,000 ",15,815,380,341,0.897,2.87,"$46,666 ",$858 ,"$2,052 "
18,19,"Samsonov, Ilya",23,ELC,RFA,"$925,000 ",19,1092,499,450,0.902,2.69,"$48,684 ",$847 ,"$2,055 "
19,20,"Elliott, Brian",35,35+,UFA,"$1,500,000 ",30,1607,738,656,0.889,3.06,"$50,000 ",$933 ,"$2,286 "
20,21,"Högberg, Marcus",26,Stnd,UFA,"$700,000 ",14,641,322,282,0.876,3.74,"$50,000 ","$1,092 ","$2,482 "
21,22,"DeSmith, Casey",29,Stnd,UFA,"$1,250,000 ",20,1132,543,495,0.912,2.54,"$62,500 ","$1,104 ","$2,525 "
22,23,"Miller, Ryan",40,35+,UFA,"$1,000,000 ",16,870,432,381,0.882,3.52,"$62,500 ","$1,149 ","$2,624 "
23,24,"Blackwood, Mackenzie",24,Stnd,UFA,"$2,800,000 ",35,2090,1081,975,0.902,3.04,"$80,000 ","$1,339 ","$2,871 "
24,25,"Forsberg, Anton",28,Stnd,UFA,"$700,000 ",8,448,264,240,0.909,3.21,"$87,500 ","$1,562 ","$2,916 "
25,26,"Campbell, Jack",28,Stnd,UFA,"$1,650,000 ",22,1284,585,539,0.921,2.15,"$75,000 ","$1,285 ","$3,061 "
26,27,"Korenar, Josef",22,ELC,RFA,"$723,333 ",10,491,258,232,0.899,3.18,"$72,333 ","$1,473 ","$3,117 "
27,28,"Gustavsson, Filip",22,ELC,RFA,"$761,666 ",9,471,254,237,0.933,2.17,"$84,629 ","$1,617 ","$3,213 "
28,29,"Korpisalo, Joonas",26,Stnd,UFA,"$2,800,000 ",33,1747,904,808,0.894,3.3,"$84,848 ","$1,602 ","$3,465 "
29,30,"Jarry, Tristan",25,Stnd,UFA,"$3,500,000 ",39,2185,1100,1000,0.909,2.75,"$89,743 ","$1,601 ","$3,499 "
30,31,"Stolarz, Anthony",26,Stnd,UFA,"$750,000 ",8,464,230,213,0.926,2.2,"$93,750 ","$1,616 ","$3,521 "
31,32,"Swayman, Jeremy",22,ELC,RFA,"$925,000 ",10,601,271,256,0.945,1.5,"$92,500 ","$1,539 ","$3,613 "
32,33,"Grubauer, Philipp",29,Stnd,UFA,"$3,333,333 ",40,2366,993,916,0.923,1.95,"$83,333 ","$1,408 ","$3,639 "
33,34,"Hutchinson, Michael",30,Stnd,UFA,"$725,000 ",8,421,211,194,0.919,2.42,"$90,625 ","$1,722 ","$3,737 "
34,35,"Sorokin, Ilya",25,Stnd,RFA,"$2,000,000 ",22,1271,563,517,0.918,2.17,"$90,909 ","$1,573 ","$3,868 "
35,36,"Daccord, Joey",24,Stnd,UFA,"$750,000 ",8,403,214,192,0.897,3.28,"$93,750 ","$1,861 ","$3,906 "
36,37,"Talbot, Cam",33,Stnd,UFA,"$3,666,667 ",33,1961,1008,922,0.915,2.63,"$111,111 ","$1,869 ","$3,976 "
37,38,"Binnington, Jordan",27,Stnd,UFA,"$4,400,000 ",42,2447,1200,1092,0.91,2.65,"$104,761 ","$1,798 ","$4,029 "
38,39,"Bernier, Jonathan",32,Stnd,UFA,"$3,000,000 ",24,1306,757,692,0.914,2.99,"$125,000 ","$2,297 ","$4,335 "
39,40,"Greiss, Thomas",34,Stnd,UFA,"$3,600,000 ",34,1755,894,815,0.912,2.7,"$105,882 ","$2,051 ","$4,417 "
40,41,"Brossoit, Laurent",27,Stnd,UFA,"$1,500,000 ",14,744,368,338,0.919,2.42,"$107,142 ","$2,016 ","$4,437 "
41,42,"Kinkaid, Keith",31,Stnd,UFA,"$825,000 ",9,485,205,184,0.898,2.6,"$91,666 ","$1,701 ","$4,483 "
42,43,"Khudobin, Anton",34,Stnd,UFA,"$3,333,333 ",32,1794,799,723,0.905,2.54,"$104,166 ","$1,858 ","$4,610 "
43,44,"Lyon, Alex",28,Stnd,UFA,"$700,000 ",6,324,169,151,0.894,3.33,"$116,666 ","$2,160 ","$4,635 "
44,45,"Ullmark, Linus",27,Stnd,UFA,"$2,600,000 ",20,1117,591,542,0.917,2.63,"$130,000 ","$2,327 ","$4,797 "
45,46,"McElhinney, Curtis",37,35+,UFA,"$1,300,000 ",12,719,296,259,0.875,3.09,"$108,333 ","$1,808 ","$5,019 "
46,47,"Hellebuyck, Connor",27,Stnd,UFA,"$6,166,667 ",45,2602,1335,1223,0.916,2.58,"$137,037 ","$2,369 ","$5,042 "
47,48,"Halák, Jaroslav",35,35+,UFA,"$2,250,000 ",19,1090,482,436,0.905,2.53,"$118,421 ","$2,064 ","$5,160 "
48,49,"Varlamov, Semyon",32,Stnd,UFA,"$5,000,000 ",36,2116,1020,948,0.929,2.04,"$138,888 ","$2,362 ","$5,274 "
49,50,"Merzlikins, Elvis",26,Stnd,UFA,"$4,000,000 ",28,1496,825,756,0.916,2.77,"$142,857 ","$2,673 ","$5,291 "
50,51,"Delia, Collin",26,Stnd,UFA,"$1,000,000 ",6,334,205,185,0.902,3.59,"$166,666 ","$2,994 ","$5,405 "
51,52,"Vladar, Daniel",23,Stnd,RFA,"$750,000 ",5,300,149,132,0.886,3.4,"$150,000 ","$2,500 ","$5,681 "
52,53,"Markström, Jacob",30,Stnd,UFA,"$6,000,000 ",43,2487,1161,1050,0.904,2.68,"$139,534 ","$2,412 ","$5,714 "
53,54,"Georgiev, Alexandar",24,Stnd,RFA,"$2,425,000 ",19,973,465,421,0.905,2.71,"$127,631 ","$2,492 ","$5,760 "
54,55,"Allen, Jake",30,Stnd,UFA,"$4,350,000 ",29,1702,817,741,0.907,2.68,"$150,000 ","$2,555 ","$5,870 "
55,56,"Reimer, James",32,Stnd,UFA,"$3,400,000 ",22,1331,627,568,0.906,2.66,"$154,545 ","$2,554 ","$5,985 "
56,57,"Dell, Aaron",31,Stnd,UFA,"$800,000 ",7,319,154,132,0.857,4.14,"$114,285 ","$2,507 ","$6,060 "
57,58,"Jones, Martin",30,Stnd,UFA,"$5,750,000 ",34,1868,980,878,0.896,3.28,"$169,117 ","$3,078 ","$6,548 "
58,59,"Rittich, David",28,Stnd,UFA,"$2,750,000 ",19,965,463,417,0.901,2.86,"$144,736 ","$2,849 ","$6,594 "
59,60,"Koskinen, Mikko",32,Stnd,UFA,"$4,500,000 ",26,1437,756,680,0.9,3.17,"$173,076 ","$3,131 ","$6,617 "
60,61,"Pickard, Calvin",28,Stnd,UFA,"$750,000 ",6,303,127,111,0.874,3.17,"$125,000 ","$2,475 ","$6,756 "
61,62,"Gibson, John",27,Stnd,UFA,"$6,400,000 ",35,2030,1042,941,0.903,2.99,"$182,857 ","$3,152 ","$6,801 "
62,63,"Holtby, Braden",31,Stnd,UFA,"$4,300,000 ",21,1260,695,618,0.889,3.67,"$204,761 ","$3,412 ","$6,957 "
63,64,"Kuemper, Darcy",30,Stnd,UFA,"$4,500,000 ",27,1546,710,644,0.907,2.56,"$166,666 ","$2,910 ","$6,987 "
64,65,"Fleury, Marc-André",36,Stnd,UFA,"$7,000,000 ",36,2146,989,918,0.928,1.99,"$194,444 ","$3,261 ","$7,625 "
65,66,"Miska, Hunter",25,Stnd,UFA,"$725,000 ",5,259,111,93,0.838,4.17,"$145,000 ","$2,799 ","$7,795 "
66,67,"Dubnyk, Devan",34,Stnd,UFA,"$4,333,333 ",22,1181,602,539,0.895,3.2,"$196,969 ","$3,669 ","$8,039 "
67,68,"Vasilevskiy, Andrei",26,Stnd,UFA,"$9,500,000 ",42,2523,1237,1144,0.925,2.21,"$226,190 ","$3,765 ","$8,304 "
68,69,"Rinne, Pekka",38,35+,UFA,"$5,000,000 ",24,1310,664,602,0.907,2.84,"$208,333 ","$3,816 ","$8,305 "
69,70,"Andersen, Frederik",31,Stnd,UFA,"$5,000,000 ",24,1420,668,598,0.895,2.96,"$208,333 ","$3,521 ","$8,361 "
70,71,"Hutton, Carter",35,Stnd,UFA,"$2,750,000 ",13,674,341,302,0.886,3.47,"$211,538 ","$4,080 ","$9,105 "
71,72,"Murray, Matt",26,Stnd,UFA,"$6,250,000 ",27,1404,738,659,0.893,3.38,"$231,481 ","$4,451 ","$9,484 "
