,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
0,1,"Vejmelka, Karel",25,ELC,RFA,"$842,500 ",52,2773,1669,1499,0.898,3.68,"$16,201 ",$303 ,$562 
1,2,"Husso, Ville",26,Stnd,UFA,"$750,000 ",40,2341,1236,1136,0.919,2.56,"$18,750 ",$320 ,$660 
2,3,"Forsberg, Anton",29,Stnd,UFA,"$900,000 ",46,2571,1457,1336,0.917,2.82,"$19,565 ",$350 ,$673 
3,4,"Vanecek, Vitek",25,Stnd,RFA,"$716,667 ",42,2317,1117,1014,0.908,2.67,"$17,063 ",$309 ,$706 
4,5,"Wedgewood, Scott",29,Stnd,UFA,"$825,000 ",37,2102,1218,1108,0.91,3.14,"$22,297 ",$392 ,$744 
5,6,"Montembeault, Samuel",25,Stnd,RFA,"$750,000 ",38,1942,1124,1002,0.892,3.77,"$19,736 ",$386 ,$748 
6,7,"Kähkönen, Kaapo",25,Stnd,RFA,"$725,000 ",36,1945,1056,963,0.912,2.87,"$20,138 ",$372 ,$752 
7,8,"Oettinger, Jake",23,ELC,RFA,"$925,000 ",48,2707,1331,1217,0.914,2.53,"$19,270 ",$341 ,$760 
8,9,"Anderson, Craig",40,35+,UFA,"$750,000 ",31,1867,945,848,0.897,3.12,"$24,193 ",$401 ,$884 
9,10,"Tokarski, Dustin",32,Stnd,UFA,"$725,000 ",29,1671,900,809,0.899,3.27,"$25,000 ",$433 ,$896 
10,11,"Swayman, Jeremy",23,ELC,RFA,"$925,000 ",41,2390,1111,1015,0.914,2.41,"$22,560 ",$387 ,$911 
11,12,"Lankinen, Kevin",26,Stnd,UFA,"$800,000 ",32,1815,973,867,0.891,3.5,"$25,000 ",$440 ,$922 
12,13,"Petersen, Cal",27,Stnd,UFA,"$858,333 ",37,2176,1002,897,0.895,2.9,"$23,198 ",$394 ,$956 
13,14,"Knight, Spencer",20,ELC,RFA,"$925,000 ",32,1740,876,795,0.908,2.79,"$28,906 ",$531 ,"$1,163 "
14,15,"Campbell, Jack",29,Stnd,UFA,"$1,650,000 ",49,2795,1430,1307,0.914,2.64,"$33,673 ",$590 ,"$1,262 "
15,16,"Stolarz, Anthony",27,Stnd,UFA,"$950,000 ",28,1506,809,742,0.917,2.67,"$33,928 ",$630 ,"$1,280 "
16,17,"Vladar, Daniel",24,Stnd,RFA,"$750,000 ",23,1243,608,551,0.906,2.75,"$32,608 ",$603 ,"$1,361 "
17,18,"Comrie, Eric",26,Stnd,UFA,"$750,000 ",19,1024,550,506,0.92,2.58,"$39,473 ",$732 ,"$1,482 "
18,19,"Gillies, Jon",27,Stnd,UFA,"$750,000 ",20,1003,550,488,0.887,3.71,"$37,500 ",$747 ,"$1,536 "
19,20,"Gustavsson, Filip",23,Stnd,RFA,"$787,500 ",18,1047,574,512,0.892,3.55,"$43,750 ",$752 ,"$1,538 "
20,21,"Thompson, Logan",24,ELC,RFA,"$800,000 ",19,1097,569,520,0.914,2.68,"$42,105 ",$729 ,"$1,538 "
