Defense (7),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Akey, Beau",3 RFA,ELC,RD,Junior,Draft,19,-,"$863,333 ","$863,333 ","$863,333 ",RFA,,
"Wanner, Maximus",2 RFA,ELC,RD,Minor,Draft,21,-,"$828,333 ","$828,333 ",RFA,,,
"Gleason, Benjamin",1 UFA,,LD,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Kemp, Philip",1 RFA,,RD,Minor,Draft,25,-,"$775,000 ",RFA,,,,
"Hoefenmayer, Noel",1 RFA,,LD,Minor,Signed,25,-,"$775,000 ",RFA,,,,
"Carrick, Connor",1 UFA,,RD,Minor,Signed,30,-,"$775,000 ",UFA,,,,
"Dineen, Cam",2 UFA,,LD,Minor,Trade,26,-,"$775,000 ","$775,000 ",UFA,,,
TOTAL,,,,,,24.6,-,"$5,566,666 ","$2,466,666 ","$863,333 ",,,
