Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Ungar, Connor",2 RFA,ELC,G,Minor,Signed,22,-,"$860,000 ","$860,000 ",RFA,,,
"Rodrigue, Olivier",1 RFA,,G,Minor,Draft,23,-,"$775,000 ",RFA,,,,
"Delia, Collin",1 UFA,,G,Minor,Signed,30,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,25,-,"$2,410,000 ","$860,000 ",,,,
