Buyout History (2),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Neal, James","$1,916,667 ",,,,,
"Campbell, Jack","$1,100,000 ","$2,300,000 ","$2,600,000 ","$1,500,000 ","$1,500,000 ","$1,500,000 "
TOTAL,"$3,016,667 ","$2,300,000 ","$2,600,000 ","$1,500,000 ","$1,500,000 ","$1,500,000 "
