"Goalies (2 - $3,600,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Skinner, Stuart",2 UFA,,G,NHL,Draft,25,3,"$2,600,000 ","$2,600,000 ",UFA,,,
"Pickard, Calvin",2 UFA,,G,NHL,Signed,32,1.1,"$1,000,000 ","$1,000,000 ",UFA,,,
TOTAL,,,,,,28.5,4.1,"$3,600,000 ","$3,600,000 ",,,,
