"Goalies (2 - $4,675,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Vejmelka, Karel",1 UFA,,G,NHL,Signed,28,3.1,"$2,725,000 ",UFA,,,,
"Ingram, Connor",2 UFA,,G,NHL,Waivers claim,27,2.2,"$1,950,000 ","$1,950,000 ",UFA,,,
TOTAL,,,,,,27.5,5.3,"$4,675,000 ","$1,950,000 ",,,,
