Buyout History (2),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Nemeth, Patrik","$1,166,667 ",,,,,
"Kassian, Zack","$766,667 ",,,,,
TOTAL,"$1,933,334 ",,,,,
