"Defense (6 - $25,400,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Sergachev, Mikhail",7 UFA,NTC,LD/RD,NHL,Trade,26,9.7,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 "
"Durzi, Sean",4 UFA,,LD/RD,NHL,Trade,25,6.8,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",UFA,
"Marino, John",3 UFA,M-NTC,RD,NHL,Trade,27,5,"$4,400,000 ","$4,400,000 ","$4,400,000 ",UFA,,
"Cole, Ian",1 UFA,35+,LD/RD,NHL,Signed,35,3.5,"$3,100,000 ",UFA,,,,
"Valimaki, Juuso",2 UFA,,LD,NHL,Waivers claim,25,2.3,"$2,000,000 ","$2,000,000 ",UFA,,,
"Kesselring, Michael",2 RFA,,RD,NHL,Trade,24,1.6,"$1,400,000 ","$1,400,000 ",RFA,,,
TOTAL,,,,,,27,28.9,"$25,400,000 ","$22,300,000 ","$18,900,000 ","$14,500,000 ","$8,500,000 ","$8,500,000 "
