"Long-Term Injured Reserve (1 - $7,857,143)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Weber, Shea",2 UFA,,RD,LTIR Candidate,Trade,38,8.9,"$7,857,143 ","$7,857,143 ",UFA,,,
TOTAL,,,,,,38,8.9,"$7,857,143 ","$7,857,143 ",,,,
