Goalies (1),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Lalonde, Nolan",3 RFA,ELC,G,Junior,Signed,20,-,"$785,556 ","$785,556 ","$785,556 ",RFA,,
"Greaves, Jet",0 RFA,,G,Minor,Signed,23,-,RFA,,,,,
TOTAL,,,,,,21.5,-,"$785,556 ","$785,556 ","$785,556 ",,,
