,"NHLPA Player Assistance Program (1 - $8,700,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Laine, Patrik",2 UFA,M-NTC,"C, RW, LW",NHLPA Player Asst.,Trade,26.0,9.9,"$8,700,000","$8,700,000",UFA,,,
1,TOTAL,,,,,,26.0,9.9,"$8,700,000","$8,700,000",,,,
