Buyout History (2),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Wennberg, Alexander","$891,667 ","$891,667 ",,,,
"Boqvist, Adam","-$66,666.00","$533,334 ",,,,
TOTAL,"$825,001 ","$1,425,001 ",,,,
