"Defense (5 - $25,333,333)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Werenski, Zachary ""A""",4 UFA,NMC,LD,NHL,Draft,26,10.9,"$9,583,333 ","$9,583,333 ","$9,583,333 ","$9,583,333 ",UFA,
"Severson, Damon",7 UFA,NTC,RD,NHL,Trade,29,7.1,"$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 ","$6,250,000 "
"Provorov, Ivan",1 UFA,RS,LD,NHL,Trade,27,5.4,"$4,725,000 ",UFA,,,,
"Gudbranson, Erik",2 UFA,M-NTC,RD,NHL,Signed,32,4.5,"$4,000,000 ","$4,000,000 ",UFA,,,
"Johnson, Jack",1 UFA,35+,LD,NHL,Signed,37,0.9,"$775,000 ",UFA,,,,
TOTAL,,,,,,30.2,28.8,"$25,333,333 ","$19,833,333 ","$15,833,333 ","$15,833,333 ","$6,250,000 ","$6,250,000 "
