"Goalies (2 - $6,250,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Gustavsson, Filip",2 UFA,,G,NHL,Trade,26,4.3,"$3,750,000 ","$3,750,000 ",UFA,,,
"Fleury, Marc-Andre",1 UFA,35+NMC,G,NHL,Trade,39,2.8,"$2,500,000 ",UFA,,,,
TOTAL,,,,,,32.5,7.1,"$6,250,000 ","$3,750,000 ",,,,
