Defense (8),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Peart, Jack",3 RFA,ELC,LD,Minor,Draft,21,-,"$925,000 ","$925,000 ","$925,000 ",RFA,,
"Masters, Kyle",2 RFA,ELC,RD,Minor,Draft,21,-,"$865,000 ","$865,000 ",RFA,,,
"Lambos, Carson",2 RFA,ELC,LD,Minor,Draft,21,-,"$863,333 ","$863,333 ",RFA,,,
"Spacek, David",2 RFA,ELC,RD,Minor,Draft,21,-,"$862,500 ","$862,500 ",RFA,,,
"O'Rourke, Ryan",1 RFA,ELC,LD,Minor,Draft,22,-,"$855,833 ",RFA,,,,
"Hunt, Daemon",1 RFA,ELC,LD,Minor,Draft,22,-,"$828,333 ",RFA,,,,
"Cecconi, Joseph",1 UFA,,RD,Minor,Signed,27,-,"$775,000 ",UFA,,,,
"Crotty, Cameron",1 UFA,,RD,Minor,Signed,25,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,22.5,-,"$6,749,999 ","$3,515,833 ","$925,000 ",,,
