Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Wallstedt, Jesper",1 RFA,ELC,G,Minor,Draft,21,-,"$925,000 ",RFA,,,,
"Hlavaj, Samuel",2 RFA,ELC,G,Loan,Signed,23,-,"$875,000 ","$875,000 ",RFA,,,
"Grosenick, Troy",1 UFA,,G,Minor,Signed,34,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,26,-,"$2,575,000 ","$875,000 ",,,,
