"Defense (5 - $11,825,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Brodin, Jonas",4 UFA,NMC,LD,NHL,Draft,30,6.8,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",UFA,
"Middleton, Jake",5 UFA,,LD,NHL,Trade,28,2.8,"$2,450,000 ","$4,350,000 ","$4,350,000 ","$4,350,000 ","$4,350,000 ",UFA
"Bogosian, Zach",2 UFA,,RD,NHL,Trade,33,1.4,"$1,250,000 ","$1,250,000 ",UFA,,,
"Merrill, Jon",1 UFA,,LD,NHL,Signed,32,1.4,"$1,200,000 ",UFA,,,,
"Faber, Brock",1 RFA,ELC,RD,NHL,Trade,21,1.1,"$925,000 ",RFA,,,,
"Chisholm, Declan",0 RFA,,LD/RD,NHL,Waivers claim,24,,RFA,,,,,
TOTAL,,,,,,28,13.4,"$11,825,000 ","$11,600,000 ","$10,350,000 ","$10,350,000 ","$4,350,000 ",
