,"Goalies (3 - $6,175,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Andersen, Frederik",1 UFA,M-NTC,G,NHL,Signed,34.0,3.9,"$3,400,000",UFA,,,,
1,"Kochetkov, Pyotr",3 UFA,,G,NHL,Draft,25.0,2.3,"$2,000,000","$2,000,000","$2,000,000",UFA,,
2,"Martin, Spencer",1 UFA,,G,NHL,Waivers claim,29.0,0.9,"$775,000",UFA,,,,
3,TOTAL,,,,,,29.3,7.0,"$6,175,000","$2,000,000","$2,000,000",,,
