Forwards (8),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Nadeau, Bradly",3 RFA,ELC,LW,Minor,Draft,19,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Blake, Jackson",2 RFA,ELC,RW,Minor,Draft,20,-,"$905,833 ","$905,833 ",RFA,,,
"Gunler, Noel",1 RFA,ELC,"RW, LW",Loan,Draft,22,-,"$862,500 ",RFA,,,,
"Trikozov, Gleb",3 RFA,ELC,"LW, RW, C",Minor,Draft,19,-,"$862,500 ","$862,500 ","$862,500 ",RFA,,
"Jaaska, Juha",1 UFA,ELC,"LW, RW",Minor,Signed,26,-,"$850,000 ",UFA,,,,
"Unger Sorum, Felix",3 RFA,ELC,RW,Loan,Draft,18,-,"$831,667 ","$831,667 ","$831,667 ",RFA,,
"Robidas, Justin",2 RFA,ELC,C,Minor,Draft,21,-,"$825,000 ","$825,000 ",RFA,,,
"Suzuki, Ryan",1 RFA,,C,Minor,Draft,23,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,21,-,"$6,830,833 ","$4,343,333 ","$2,612,500 ",,,
