Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Blomqvist, Joel",2 RFA,ELC,G,Minor,Draft,22,-,"$886,667 ","$886,667 ",RFA,,,
"Gauthier, Taylor",1 RFA,ELC,G,Minor,Signed,23,-,"$859,167 ",RFA,,,,
"Larsson, Filip",2 UFA,,G,Minor,Signed,25,-,"$775,000 ","$775,000 ",UFA,,,
TOTAL,,,,,,23.3,-,"$2,520,834 ","$1,661,667 ",,,,
