"Goalies (2 - $7,875,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Jarry, Tristan",4 UFA,M-NTC,G,NHL,Signed,29,6.1,"$5,375,000 ","$5,375,000 ","$5,375,000 ","$5,375,000 ",UFA,
"Nedeljkovic, Alex",2 UFA,,G,NHL,Signed,28,2.8,"$2,500,000 ","$2,500,000 ",UFA,,,
TOTAL,,,,,,28.5,8.9,"$7,875,000 ","$7,875,000 ","$5,375,000 ","$5,375,000 ",,
