,"Defense (4 - $20,900,175)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Karlsson, Erik",3 UFA,RSNMC,RD,NHL,Trade,34.0,11.4,"$10,000,000","$10,000,000","$10,000,000",UFA,,
1,"Letang, Kris ""A""",4 UFA,35+NMC,RD,NHL,Draft,37.0,6.9,"$6,100,000","$6,100,000","$6,100,000","$6,100,000",UFA,
2,"Pettersson, Marcus",1 UFA,M-NTC,LD,NHL,Trade,28.0,4.6,"$4,025,175",UFA,,,,
3,"Ludvig, John",1 RFA,,LD,NHL,Waivers claim,23.0,0.9,"$775,000",RFA,,,,
4,"Joseph, Pierre-Olivier",0 RFA,,LD,NHL,Trade,24.0,,RFA,,,,,
5,TOTAL,,,,,,29.2,23.8,"$20,900,175","$16,100,000","$16,100,000","$6,100,000",,
