"Long-Term Injured Reserve (1 - $900,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Nieto, Matt",1 UFA,,"LW, RW",LTIR Candidate,Signed,31,1,"$900,000 ",UFA,,,,
TOTAL,,,,,,31,1,"$900,000 ",,,,,
