Buyout History (1),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Ekman-Larsson, Oliver","$2,346,667 ","$4,766,667 ","$4,766,667 ","$2,126,667 ","$2,126,667 ","$2,126,667 "
TOTAL,"$2,346,667 ","$4,766,667 ","$4,766,667 ","$2,126,667 ","$2,126,667 ","$2,126,667 "
