"Defense (8 - $26,400,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Hughes, Quinn ""C""",3 UFA,,LD,NHL,Draft,24,8.9,"$7,850,000 ","$7,850,000 ","$7,850,000 ",UFA,,
"Hronek, Filip",8 UFA,,RD,NHL,Trade,26,8.2,"$7,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 "
"Soucy, Carson",2 UFA,NTC,LD/RD,NHL,Signed,29,3.7,"$3,250,000 ","$3,250,000 ",UFA,,,
"Myers, Tyler",3 UFA,NMC,RD,NHL,Signed,34,3.4,"$3,000,000 ","$3,000,000 ","$3,000,000 ",UFA,,
"Desharnais, Vincent",2 UFA,,RD,NHL,Signed,28,2.3,"$2,000,000 ","$2,000,000 ",UFA,,,
"Forbort, Derek",1 UFA,,LD,NHL,Signed,32,1.7,"$1,500,000 ",UFA,,,,
"Juulsen, Noah",1 UFA,,RD,NHL,Trade,27,0.9,"$775,000 ",UFA,,,,
"Friedman, Mark",1 UFA,,LD/RD,NHL,Trade,28,0.9,"$775,000 ",UFA,,,,
TOTAL,,,,,,28.5,30,"$26,400,000 ","$23,350,000 ","$18,100,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 "
