"Goalies (1 - $5,000,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Demko, Thatcher",2 UFA,,G,NHL,Draft,28,5.7,"$5,000,000 ","$5,000,000 ",UFA,,,
"Silovs, Arturs",0 RFA,,G,NHL,Draft,23,,RFA,,,,,
TOTAL,,,,,,25.5,5.7,"$5,000,000 ","$5,000,000 ",,,,
