,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
0,"Feb. 24, 2020","Carolina Hurricanes Acquire:Brady Skjei · $5,250,000$5,250,000$5,400,000Sum: $5,250,000$5,250,000$5,400,000Change: +$5,250,000Change: +$5,250,000Change: +$5,400,000","New York Rangers Acquire:2020 1st round pick (CAR - #22 - Hendrix Lapierre) [Conditional]**Conditions: NY Rangers will receive the later (or lower) of either the Carolina or Toronto 2020 1st round picks Result: Rangers will receive Carolina's 2020 1st round pick.Sum: $0$0$0Change: -$5,250,000Change: -$5,250,000Change: $0",Carolina Hurricanes ,Brady Skjei,New York Rangers ,2020 1st round pick (CAR - #22 - Hendrix Lapierre) [Conditional]**Conditions: NY Rangers will receive the later (or lower) of either the Carolina or Toronto 2020 1st round picks Result: Rangers will receive Carolina's 2020 1st round pick.
1,"Feb. 24, 2020","Anaheim Ducks Acquire:Joel Persson · $0$1,000,000$1,000,000 (AHL/JR)Sum: $0$1,000,000$1,000,000Change: $0Change: +$157,500Change: +$1,000,000","Edmonton Oilers Acquire:Angus Redmond · $0$842,500$70,000 (AHL/JR)2022 7th round pick (ANA - #203 - James Fisher) [Conditional]**Conditions: Edmonton receives the 2022 7th round pick if Joel Persson plays 25 games in the NHL in the 2020-21 season (prorated to 17 games due to the shortened season). Result: Condition not met, Anaheim retains the 7th round pick Sum: $0$842,500$70,000Change: $0Change: -$157,500Change: +$70,000",Anaheim Ducks ,Joel Persson,Edmonton Oilers ,Angus Redmond
2,"Feb. 24, 2020","Chicago Blackhawks Acquire:From VGK:Malcolm Subban · $850,000$850,000$850,000Stanislav Demin · $0$0$0 (AHL/JR) (Signing Rights)2020 2nd round pick (PIT - #46 - Drew Commesso)Sum: $850,000$850,000$850,000Change: -$1,650,000Change: -$1,650,000Change: -$1,650,000","Toronto Maple Leafs Acquire:From CHI:Robin Lehner ($2,500,000 retained - 50%) · $2,500,000$2,500,000$2,500,000From VGK:2020 5th round pick (VGK - #153 - Kasper Puutio)Sum: $2,500,000$2,500,000$0Change: +$1,100,000Change: +$1,100,000Change: -$1,100,000",Chicago Blackhawks ,From VGK:Malcolm Subban,Toronto Maple Leafs ,"From CHI:Robin Lehner ($2,500,000 retained - 50%)"
3,"Feb. 24, 2020","New York Islanders Acquire:Jordan Schmaltz · $0$700,000$700,000 (AHL/JR)Sum: $0$700,000$700,000Change: $0Change: +$25,000Change: +$700,000","Toronto Maple Leafs Acquire:Matt Lorito · $0$675,000$700,000 (AHL/JR)Sum: $0$675,000$700,000Change: $0Change: -$25,000Change: +$700,000",New York Islanders ,Jordan Schmaltz,Toronto Maple Leafs ,Matt Lorito
4,"Feb. 24, 2020","Carolina Hurricanes Acquire:Sami Vatanen ($2,437,500 retained - 50%) · $2,437,500$2,437,500$0Sum: $2,437,500$2,437,500$0Change: +$2,437,500Change: +$925,834Change: -$220,500,000","New Jersey Devils Acquire:Fredrik Claesson · $0$700,000$100,000 (AHL/JR)Janne Kuokkanen · $0$811,666$70,000 (AHL/JR)2020 3rd round pick (CAR - #84 - Nico Daws) [Conditional]**Conditions: New Jersey receives a 2020 4th round pick if Vatanen plays in 5 regular-season games this season. The pick upgrades to a 2020 3rd round pick if Vatanen plays in 12 regular-season games this season, or if Carolina makes the playoffs and he plays in 70% of their playoff games. Updated conditions (The NHL revised the conditions due to the 2020 COVID shortened season), the conditions are now as follows: NJD receives: a) 2020 3rd round pick if: 1. CAR beats NYR in the 2020 play-in 2. Vatanen plays in 70% or more of CAR’s playoff games (excluding play-in games) b) 2020 4th round pick if: 1. CAR beats NYR in the 2020 play-in 2. Vatanen plays in at least 2 games against NYR 3. Vatanen plays in less than 70% of CAR’s playoff games c) No pick if: 1. CAR beats NYR in the 2020 play-in 2. Vatanen plays in less than 2 games against NYR 3. Vatanen plays in less than 70% of CAR's playoff games d) 2020 or 2021 4th round pick if: 1. CAR loses to NYR in the 2020 play-in 2. Vatanen plays in at least 2 games against NYR e) No pick if: 1. CAR loses to NYR in the 2020 play-in 2. Vatanen plays in less than 2 games against NYR Result: New Jersey receives a 2020 3rd round pick. Sum: $0$1,511,666$170,000Change: -$2,437,500Change: -$925,834Change: +$170,000",Carolina Hurricanes ,"Sami Vatanen ($2,437,500 retained - 50%)",New Jersey Devils ,Fredrik Claesson
5,"Feb. 24, 2020","Calgary Flames Acquire:Future ConsiderationsSum: $0$0$0Change: -$700,000Change: -$700,000Change: $0","San Jose Sharks Acquire:Brandon Davidson · $700,000$700,000$700,000Sum: $700,000$700,000$700,000Change: +$700,000Change: +$700,000Change: +$700,000",Calgary Flames ,Future Considerations,San Jose Sharks ,Brandon Davidson
6,"Feb. 24, 2020","Calgary Flames Acquire:Erik Gustafsson · $1,200,000$1,200,000$1,400,000Sum: $1,200,000$1,200,000$1,400,000Change: +$1,200,000Change: +$1,200,000Change: +$1,400,000","Chicago Blackhawks Acquire:2020 3rd round pick (CGY - #81 - Wyatt Kaiser) [Conditional]**Conditions: Chicago will receive the higher (or better) of the Calgary or Edmonton 2020 3rd round pick (on the requirement that Edmonton's pick meets its conditions and becomes the property of Calgary. The Edmonton pick is a conditional pick that Calgary does not yet own) Result: Chicago will receive Calgary's 2020 3rd round pick.Sum: $0$0$0Change: -$1,200,000Change: -$1,200,000Change: $0",Calgary Flames ,Erik Gustafsson,Chicago Blackhawks ,2020 3rd round pick (CGY - #81 - Wyatt Kaiser) [Conditional]**Conditions: Chicago will receive the higher (or better) of the Calgary or Edmonton 2020 3rd round pick (on the requirement that Edmonton's pick meets its conditions and becomes the property of Calgary. The Edmonton pick is a conditional pick that Calgary does not yet own) Result: Chicago will receive Calgary's 2020 3rd round pick.
7,"Feb. 24, 2020","San Jose Sharks Acquire:Anthony Greco · $0$700,000$200,000 (AHL/JR)2020 1st round pick (TBL - #31 - Ozzy Wiesblatt)Sum: $0$700,000$200,000Change: -$925,000Change: -$225,000Change: +$200,000","Tampa Bay Lightning Acquire:Barclay Goodrow · $925,000$925,000$1,000,0002020 3rd round pick (PHI - #85 - Maxim Groshev)Sum: $925,000$925,000$1,000,000Change: +$925,000Change: +$225,000Change: +$1,000,000",San Jose Sharks ,Anthony Greco,Tampa Bay Lightning ,Barclay Goodrow
8,"Feb. 24, 2020","Anaheim Ducks Acquire:Sonny Milano · $874,125$874,125$874,125Sum: $874,125$874,125$874,125Change: -$666,875Change: -$666,875Change: -$733,875","Columbus Blue Jackets Acquire:Devin Shore ($759,000 retained - 33%) · $1,541,000$1,541,000$1,608,000Sum: $1,541,000$1,541,000$1,608,000Change: +$666,875Change: +$666,875Change: +$733,875",Anaheim Ducks ,Sonny Milano,Columbus Blue Jackets ,"Devin Shore ($759,000 retained - 33%)"
9,"Feb. 24, 2020","Calgary Flames Acquire:Derek Forbort ($631,250 retained - 25%) · $1,893,750$1,893,750$0Sum: $1,893,750$1,893,750$0Change: +$1,893,750Change: +$1,893,750Change: -$67,200,000","Los Angeles Kings Acquire:2021 4th round pick (CGY - #109 - Jackson Blake) [Conditional]**Conditions: The 2021 4th round pick upgrades to a 2022 3rd round pick if Calgary reaches the 2020 Conference Finals and Forbort plays in 50% of those games, or if Forbort re-signs with Calgary. Result: LA Kings will receive the 2021 4th round pick.Sum: $0$0$0Change: -$1,893,750Change: -$1,893,750Change: $0",Calgary Flames ,"Derek Forbort ($631,250 retained - 25%)",Los Angeles Kings ,"2021 4th round pick (CGY - #109 - Jackson Blake) [Conditional]**Conditions: The 2021 4th round pick upgrades to a 2022 3rd round pick if Calgary reaches the 2020 Conference Finals and Forbort plays in 50% of those games, or if Forbort re-signs with Calgary. Result: LA Kings will receive the 2021 4th round pick."
