,"Defense (5 - $22,775,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Doughty, Drew ""A""",3 UFA,M-NTC,RD,NHL,Draft,34.0,12.5,"$11,000,000","$11,000,000","$11,000,000",UFA,,
1,"Gavrikov, Vladislav",1 UFA,NMC,LD,NHL,Trade,28.0,6.7,"$5,875,000",UFA,,,,
2,"Anderson, Michael",7 UFA,,LD,NHL,Draft,25.0,4.7,"$4,125,000","$4,125,000","$4,125,000","$4,125,000","$4,125,000","$4,125,000"
3,"Englund, Andreas",1 UFA,,LD,NHL,Signed,28.0,1.1,"$1,000,000",UFA,,,,
4,"Moverare, Jacob",2 UFA,,LD,NHL,Draft,25.0,0.9,"$775,000","$775,000",UFA,,,
5,"Spence, Jordan",0 RFA,,RD,NHL,Draft,23.0,,RFA,,,,,
6,"Roy, Matt",0 UFA,,RD,NHL,Draft,29.0,,UFA,,,,,
7,TOTAL,,,,,,27.4,25.9,"$22,775,000","$15,900,000","$15,125,000","$4,125,000","$4,125,000","$4,125,000"
