"Goalies (3 - $7,075,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Kuemper, Darcy",3 UFA,M-NTC,G,NHL,Trade,34,6,"$5,250,000 ","$5,250,000 ","$5,250,000 ",UFA,,
"Rittich, David",1 UFA,,G,NHL,Signed,31,1.1,"$1,000,000 ",UFA,,,,
"Copley, Pheonix",1 UFA,,G,NHL,Signed,32,0.9,"$825,000 ",UFA,,,,
TOTAL,,,,,,32.3,8,"$7,075,000 ","$5,250,000 ","$5,250,000 ",,,
