Goalies (4),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Lennox, Tristan",2 RFA,ELC,G,Minor,Draft,21,-,"$867,500 ","$867,500 ",RFA,,,
"Tikkanen, Henrik",2 RFA,ELC,G,Minor,Draft,23,-,"$823,750 ","$823,750 ",RFA,,,
"Hogberg, Marcus",2 UFA,,G,Minor,Signed,29,-,"$775,000 ","$775,000 ",UFA,,,
"Skarek, Jakub",1 RFA,,G,Minor,Draft,24,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,24.3,-,"$3,241,250 ","$2,466,250 ",,,,
