"Goalies (2 - $11,000,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Sorokin, Ilya",8 UFA,NMC,G,NHL,Draft,28,9.4,"$8,250,000 ","$8,250,000 ","$8,250,000 ","$8,250,000 ","$8,250,000 ","$8,250,000 "
"Varlamov, Semyon",3 UFA,35+NTC,G,NHL,Signed,36,3.1,"$2,750,000 ","$2,750,000 ","$2,750,000 ",UFA,,
TOTAL,,,,,,32,12.5,"$11,000,000 ","$11,000,000 ","$11,000,000 ","$8,250,000 ","$8,250,000 ","$8,250,000 "
