,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
40,40,Hampus Lindholm,BOS,33,"Jan. 20, 1994",Sweden,208 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,6 - Round 1 - 2012 (ANA),,,,BOS,Standard (1-way),Yes,"Mar. 20, 2022",28,,,M-NTC,8,UFA,UFA,2030,"$6,500,000 ",8.00%,"$6,500,000 ","$4,800,000 ","$4,800,000 ","$4,800,000 ",$0 ,$0 
41,41,Tom Wilson,WSH,33,"Mar. 29, 1994",Canada,220 lbs - 100 kg,"6'4"" - 193 cm",RW,Right,16 - Round 1 - 2012 (WSH),,,,WSH,Standard (1-way),Yes,"Aug. 4, 2023",30,,,M-NTC,7,UFA,UFA,2031,"$6,500,000 ",7.80%,"$6,500,000 ","$6,300,000 ","$4,300,000 ","$6,300,000 ","$2,000,000 ",$0 
42,42,Brayden Schenn,STL,35,"Aug. 22, 1991",Canada,200 lbs - 91 kg,"6'1"" - 185 cm","C, LW",Left,5 - Round 1 - 2009 (LAK),,,,STL,Standard (1-way),Yes,"Oct. 4, 2019",28,,,M-NTC,8,UFA,UFA,2028,"$6,500,000 ",8.00%,"$6,500,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",$0 ,$0 
43,43,Colton Parayko,STL,34,12-May-93,Canada,230 lbs - 104 kg,"6'6"" - 198 cm",RD,Right,86 - Round 3 - 2012 (STL),,,,STL,Standard (1-way),Yes,"Sep. 1, 2021",29,,,NTC,8,UFA,UFA,2030,"$6,500,000 ",8.00%,"$6,500,000 ","$4,800,000 ","$4,800,000 ","$4,800,000 ",$0 ,$0 
44,44,Jaccob Slavin,CAR,33,1-May-94,United States,207 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,120 - Round 4 - 2012 (CAR),,,,CAR,Standard (1-way),Yes,"Jul. 1, 2024",31,,,NMC,8,UFA,UFA,2033,"$6,396,063 ",7.30%,"$6,396,063 ","$8,000,000 ","$1,000,000 ","$8,000,000 ","$7,000,000 ",$0 
45,45,Joshua Morrissey,WPG,32,"Mar. 28, 1995",Canada,195 lbs - 88 kg,"6'0"" - 183 cm",LD,Left,13 - Round 1 - 2013 (WPG),,,,WPG,Standard (1-way),Yes,"Sep. 12, 2019",25,Yes,,M-NTC,8,RFA,UFA,2028,"$6,250,000 ",7.70%,"$6,250,000 ","$4,800,000 ","$4,800,000 ","$4,800,000 ",$0 ,$0 
46,46,Damon Severson,CBJ,32,"Aug. 7, 1994",Canada,205 lbs - 93 kg,"6'2"" - 188 cm",RD,Right,60 - Round 2 - 2012 (NJD),,,,NJD,Standard (1-way),Yes,"Jun. 9, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$6,250,000 ",7.60%,"$6,250,000 ","$5,100,000 ","$3,300,000 ","$5,100,000 ","$1,800,000 ",$0 
47,47,Kris Letang,PIT,40,"Apr. 24, 1987",Canada,201 lbs - 91 kg,"6'0"" - 183 cm",RD,Right,62 - Round 3 - 2005 (PIT),,,,PIT,35+ (1-way),Yes,"Jul. 7, 2022",35,,,"M-NTC, NMC",6,UFA,UFA,2028,"$6,100,000 ",7.40%,"$6,100,000 ","$4,800,000 ","$1,000,000 ","$4,800,000 ","$3,800,000 ",$0 
48,48,Jonas Brodin,MIN,33,"Jul. 12, 1993",Sweden,194 lbs - 88 kg,"6'1"" - 185 cm",LD,Left,10 - Round 1 - 2011 (MIN),,,,MIN,Standard (1-way),Yes,"Sep. 15, 2020",27,,,,7,UFA,UFA,2028,"$6,000,000 ",7.40%,"$6,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",$0 ,$0 
49,49,Tyler Toffoli,SJS,35,"Apr. 24, 1992",Canada,197 lbs - 89 kg,"6'0"" - 183 cm","RW, LW",Right,47 - Round 2 - 2010 (LAK),,,,SJS,Standard (1-way),,"Jul. 1, 2024",32,,,NMC,4,UFA,UFA,2028,"$6,000,000 ",6.80%,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
50,0,Gustav Forsling,FLA,31,"Jun. 12, 1996",Sweden,186 lbs - 84 kg,"6'0"" - 183 cm",LD,Left,126 - Round 5 - 2014 (VAN),,,,FLA,Standard (1-way),Yes,"Mar. 7, 2024",28,,,NMC,8,UFA,UFA,2032,"$5,750,000 ",6.90%,"$5,750,000 ","$6,525,000 ","$1,000,000 ","$6,525,000 ","$5,525,000 ",$0 
51,1,Adam Pelech,NYI,32,"Aug. 16, 1994",Canada,218 lbs - 99 kg,"6'3"" - 191 cm",LD,Left,65 - Round 3 - 2012 (NYI),,,,NYI,Standard (1-way),,"Aug. 6, 2021",26,Yes,Yes,M-NTC,8,RFA,UFA,2029,"$5,750,000 ",7.10%,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",$0 ,$0 
52,2,Vincent Trocheck,NYR,33,"Jul. 11, 1993",United States,183 lbs - 83 kg,"5'10"" - 178 cm","C, RW",Right,64 - Round 3 - 2011 (FLA),,,,NYR,Standard (1-way),,"Jul. 13, 2022",28,,,M-NTC,7,UFA,UFA,2029,"$5,625,000 ",6.80%,"$5,625,000 ","$4,500,000 ","$3,000,000 ","$4,500,000 ","$1,500,000 ",$0 
53,3,Tyler Bertuzzi,CHI,32,"Feb. 24, 1995",Canada,200 lbs - 91 kg,"6'2"" - 188 cm","LW, RW",Left,58 - Round 2 - 2013 (DET),,,,CHI,Standard (1-way),,"Jul. 1, 2024",29,,,,4,UFA,UFA,2028,"$5,500,000 ",6.30%,"$5,500,000 ","$4,200,000 ","$4,200,000 ","$4,200,000 ",$0 ,$0 
54,4,Jonathan Marchessault,NSH,36,"Dec. 27, 1990",Canada,180 lbs - 82 kg,"5'9"" - 175 cm","RW, LW",Right,,,,,NSH,Standard (1-way),,"Jul. 1, 2024",33,,,,5,UFA,UFA,2029,"$5,500,000 ",6.30%,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",$0 ,$0 
55,5,Zach Hyman,EDM,35,"Jun. 9, 1992",Canada,211 lbs - 96 kg,"6'1"" - 185 cm","RW, LW",Right,123 - Round 5 - 2010 (FLA),,,,EDM,Standard (1-way),,"Jul. 28, 2021",29,,,M-NTC,7,UFA,UFA,2028,"$5,500,000 ",6.70%,"$5,500,000 ","$3,900,000 ","$2,650,000 ","$3,900,000 ","$1,250,000 ",$0 
56,6,Sean Monahan,CBJ,32,"Oct. 12, 1994",Canada,202 lbs - 92 kg,"6'2"" - 188 cm","C, LW, RW",Left,6 - Round 1 - 2013 (CGY),,,,CBJ,Standard (1-way),,"Jul. 1, 2024",29,,,M-NTC,5,UFA,UFA,2029,"$5,500,000 ",6.30%,"$5,500,000 ","$5,200,000 ","$3,700,000 ","$5,200,000 ","$1,500,000 ",$0 
