,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,1. Auston Matthews,TOR,29,"Sep. 17, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",C,Left,1 - Round 1 - 2016 (TOR),,,,TOR,Standard (1-way),✔,"Aug. 23, 2023",26,,,NMC,4,UFA,UFA,2028,"$13,250,000",15.9%,"$13,250,000","$10,020,000","$900,000","$10,020,000","$9,120,000",$0
1,2. Nathan MacKinnon,COL,31,"Sep. 1, 1995",Canada,200 lbs - 91 kg,"6'0"" - 183 cm",C,Right,1 - Round 1 - 2013 (COL),,,,COL,Standard (1-way),✔,"Sep. 20, 2022",27,,,NMC,8,UFA,UFA,2031,"$12,600,000",15.3%,"$12,600,000","$9,900,000","$990,000","$9,900,000","$8,910,000",$0
2,3. William Nylander,TOR,31,"May 1, 1996",Canada,202 lbs - 92 kg,"6'0"" - 183 cm",RW,Right,8 - Round 1 - 2014 (TOR),,,,TOR,Standard (1-way),✔,"Jan. 8, 2024",28,,,NMC,8,UFA,UFA,2032,"$11,500,000",13.8%,"$11,500,000","$11,500,000","$1,000,000","$11,500,000","$10,500,000",$0
3,4. David Pastrnak,BOS,31,"May 25, 1996",Czech Republic,194 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,25 - Round 1 - 2014 (BOS),,,,BOS,Standard (1-way),✔,"Mar. 2, 2023",27,,,NMC,8,UFA,UFA,2031,"$11,250,000",13.6%,"$11,250,000","$11,250,000","$8,250,000","$11,250,000","$3,000,000",$0
4,5. Jonathan Huberdeau,CGY,34,"Jun. 4, 1993",Canada,202 lbs - 92 kg,"6'1"" - 185 cm","LW, RW",Left,3 - Round 1 - 2011 (FLA),,,,CGY,Standard (1-way),✔,"Aug. 4, 2022",30,,,NMC,8,UFA,UFA,2031,"$10,500,000",12.7%,"$10,500,000","$10,500,000","$1,000,000","$10,500,000","$9,500,000",$0
5,6. Aleksander Barkov,FLA,31,"Sep. 2, 1995",Finland,210 lbs - 95 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2013 (FLA),,,,FLA,Standard (1-way),✔,"Oct. 8, 2021",26,,,NMC,8,UFA,UFA,2030,"$10,000,000",12.3%,"$10,000,000","$8,000,000","$1,000,000","$8,000,000","$7,000,000",$0
6,7. Sebastian Aho,CAR,29,"Jul. 26, 1997",Finland,176 lbs - 80 kg,"6'0"" - 183 cm",C,Left,35 - Round 2 - 2015 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 26, 2023",26,,,NMC,8,UFA,UFA,2032,"$9,750,000",11.7%,"$9,750,000","$12,000,000","$10,000,000","$12,000,000","$2,000,000",$0
7,8. Johnny Gaudreau,CBJ,33,"Aug. 13, 1993",United States,165 lbs - 75 kg,"5'9"" - 175 cm",LW,Left,104 - Round 4 - 2011 (CGY),,,,CBJ,Standard (1-way),,"Jul. 13, 2022",28,,,"M-NTC, NMC",7,UFA,UFA,2029,"$9,750,000",11.8%,"$9,750,000","$9,750,000","$7,750,000","$9,750,000","$2,000,000",$0
8,9. Zachary Werenski,CBJ,29,"Jul. 19, 1997",United States,212 lbs - 96 kg,"6'2"" - 188 cm",LD,Left,8 - Round 1 - 2015 (CBJ),,,,CBJ,Standard (1-way),,"Jul. 29, 2021",24,✔,,M-NTC,6,RFA,UFA,2028,"$9,583,333",11.8%,"$9,583,333","$7,250,000","$1,000,000","$7,250,000","$6,250,000",$0
9,10. Andrei Vasilevskiy,TBL,32,"Jul. 25, 1994",Russia,216 lbs - 98 kg,"6'3"" - 191 cm",G,Left,19 - Round 1 - 2012 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 29, 2019",25,✔,,M-NTC,8,RFA,UFA,2028,"$9,500,000",11.7%,"$9,500,000","$6,000,000","$3,000,000","$6,000,000","$3,000,000",$0
10,11. Brayden Point,TBL,31,"Mar. 13, 1996",Canada,166 lbs - 75 kg,"5'10"" - 178 cm","C, RW",Right,79 - Round 3 - 2014 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 28, 2021",26,✔,,M-NTC,8,RFA,UFA,2030,"$9,500,000",11.7%,"$9,500,000","$7,600,000","$3,000,000","$7,600,000","$4,600,000",$0
11,12. Matthew Tkachuk,FLA,29,"Dec. 11, 1997",United States,202 lbs - 92 kg,"6'2"" - 188 cm",RW,Left,6 - Round 1 - 2016 (CGY),,,,CGY,Standard (1-way),,"Jul. 22, 2022",24,✔,✔,NMC,8,RFA,UFA,2030,"$9,500,000",11.5%,"$9,500,000","$8,750,000","$1,000,000","$8,750,000","$7,750,000",$0
12,13. Seth Jones,CHI,32,"Oct. 3, 1994",United States,209 lbs - 95 kg,"6'4"" - 193 cm",RD,Right,4 - Round 1 - 2013 (NSH),,,,CHI,Standard (1-way),✔,"Jul. 23, 2021",27,,,NMC,8,UFA,UFA,2030,"$9,500,000",11.7%,"$9,500,000","$7,500,000","$2,500,000","$7,500,000","$5,000,000",$0
13,14. Darnell Nurse,EDM,32,"Feb. 4, 1995",Canada,221 lbs - 100 kg,"6'4"" - 193 cm",LD,Left,7 - Round 1 - 2013 (EDM),,,,EDM,Standard (1-way),✔,"Aug. 6, 2021",27,,,"M-NTC, NMC",8,UFA,UFA,2030,"$9,250,000",11.3%,"$9,250,000","$7,200,000","$1,200,000","$7,200,000","$6,000,000",$0
14,15. Roman Josi,NSH,37,"Jun. 1, 1990",Switzerland,201 lbs - 91 kg,"6'1"" - 185 cm",LD,Left,38 - Round 2 - 2008 (NSH),,,,NSH,Standard (1-way),✔,"Oct. 29, 2019",30,,,NMC,8,UFA,UFA,2028,"$9,059,000",11.1%,"$9,059,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
15,16. Jake Guentzel,TBL,32,"Oct. 6, 1994",United States,180 lbs - 82 kg,"5'11"" - 180 cm","LW, RW",Left,77 - Round 3 - 2013 (PIT),,,,TBL,Standard (1-way),✔,"Jun. 30, 2024",29,,,NMC,7,UFA,UFA,2031,"$9,000,000",10.2%,"$9,000,000","$7,957,895","$1,000,000","$7,957,895","$6,957,895",$0
16,17. Dougie Hamilton,NJD,34,"Jun. 17, 1993",Canada,229 lbs - 104 kg,"6'6"" - 198 cm",RD,Right,9 - Round 1 - 2011 (BOS),,,,NJD,Standard (1-way),,"Jul. 28, 2021",28,,,"M-NTC, NMC",7,UFA,UFA,2028,"$9,000,000",11.0%,"$9,000,000","$5,250,000","$5,250,000","$5,250,000",$0,$0
17,18. Timo Meier,NJD,30,"Oct. 8, 1996",Switzerland,210 lbs - 95 kg,"6'0"" - 183 cm","LW, RW",Left,9 - Round 1 - 2015 (SJS),,,,NJD,Standard (1-way),✔,"Jun. 28, 2023",26,✔,✔,NMC,8,RFA,UFA,2031,"$8,800,000",10.5%,"$8,800,000","$7,200,000","$2,200,000","$7,200,000","$5,000,000",$0
18,19. Dylan Larkin,DET,30,"Jul. 30, 1996",United States,198 lbs - 90 kg,"6'1"" - 185 cm",C,Left,15 - Round 1 - 2014 (DET),,,,DET,Standard (1-way),✔,"Mar. 1, 2023",26,,,NTC,8,UFA,UFA,2031,"$8,700,000",10.5%,"$8,700,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
19,20. Sam Reinhart,FLA,31,"Nov. 6, 1995",Canada,194 lbs - 88 kg,"6'1"" - 185 cm",RW,Right,2 - Round 1 - 2014 (BUF),,,,FLA,Standard (1-way),✔,"Jun. 30, 2024",28,,,M-NMC,8,UFA,UFA,2032,"$8,625,000",9.8%,"$8,625,000","$9,350,000","$1,000,000","$9,350,000","$8,350,000",$0
20,21. Filip Forsberg,NSH,32,"Aug. 13, 1994",Sweden,205 lbs - 93 kg,"6'1"" - 185 cm",LW,Right,11 - Round 1 - 2012 (WSH),,,,NSH,Standard (1-way),✔,"Jul. 9, 2022",27,,,NMC,8,UFA,UFA,2030,"$8,500,000",10.3%,"$8,500,000","$7,000,000","$4,000,000","$7,000,000","$3,000,000",$0
21,22. Mark Scheifele,WPG,34,"Mar. 15, 1993",Canada,207 lbs - 94 kg,"6'3"" - 191 cm",C,Right,7 - Round 1 - 2011 (WPG),,,,WPG,Standard (1-way),✔,"Oct. 9, 2023",31,,,M-NTC,7,UFA,UFA,2031,"$8,500,000",10.2%,"$8,500,000","$10,000,000","$10,000,000","$10,000,000",$0,$0
22,23. Connor Hellebuyck,WPG,34,"May 19, 1993",United States,207 lbs - 94 kg,"6'4"" - 193 cm",G,Left,130 - Round 5 - 2012 (WPG),,,,WPG,Standard (1-way),✔,"Oct. 9, 2023",31,,,M-NTC,7,UFA,UFA,2031,"$8,500,000",10.2%,"$8,500,000","$10,000,000","$10,000,000","$10,000,000",$0,$0
23,24. Bo Horvat,NYI,32,"Apr. 5, 1995",Canada,215 lbs - 98 kg,"6'0"" - 183 cm",C,Left,9 - Round 1 - 2013 (VAN),,,,NYI,Standard (1-way),✔,"Feb. 5, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$8,500,000",10.3%,"$8,500,000","$8,500,000","$8,500,000","$8,500,000",$0,$0
24,25. Mika Zibanejad,NYR,34,"Apr. 18, 1993",Sweden,208 lbs - 94 kg,"6'2"" - 188 cm",C,Right,6 - Round 1 - 2011 (OTT),,,,NYR,Standard (1-way),✔,"Oct. 10, 2021",29,,,NMC,8,UFA,UFA,2030,"$8,500,000",10.4%,"$8,500,000","$7,750,000","$1,000,000","$7,750,000","$6,750,000",$0
25,26. Tomas Hertl,VGK,33,"Nov. 12, 1993",Czech Republic,215 lbs - 98 kg,"6'2"" - 188 cm",C,Left,17 - Round 1 - 2012 (SJS),,,,SJS,Standard (1-way),✔,"Mar. 16, 2022",28,,,"M-NTC, NMC",8,UFA,UFA,2030,"$8,137,500",10.0%,"$8,137,500","$6,300,000","$2,300,000","$6,300,000","$4,000,000",$0
26,27. Steven Stamkos,NSH,37,"Feb. 7, 1990",Canada,194 lbs - 88 kg,"6'1"" - 185 cm","LW, C",Right,1 - Round 1 - 2008 (TBL),,,,NSH,Standard (1-way),,"Jul. 1, 2024",34,,,,4,UFA,UFA,2028,"$8,000,000",9.1%,"$8,000,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
27,28. J.T. Miller,VAN,34,"Mar. 14, 1993",United States,218 lbs - 99 kg,"6'1"" - 185 cm","C, LW, RW",Left,15 - Round 1 - 2011 (NYR),,,,VAN,Standard (1-way),✔,"Sep. 2, 2022",30,,,"M-NTC, NMC",7,UFA,UFA,2030,"$8,000,000",9.7%,"$8,000,000","$7,500,000","$4,500,000","$7,500,000","$3,000,000",$0
28,29. Victor Hedman,TBL,36,"Dec. 18, 1990",Sweden,229 lbs - 104 kg,"6'6"" - 198 cm",LD,Left,2 - Round 1 - 2009 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 2, 2024",34,,,NMC,4,UFA,UFA,2029,"$8,000,000",9.1%,"$8,000,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
29,30. Pavel Buchnevich,STL,32,"Apr. 17, 1995",Russia,197 lbs - 89 kg,"6'3"" - 191 cm","LW, RW, C",Left,75 - Round 3 - 2013 (NYR),,,,STL,Standard (1-way),✔,"Jul. 2, 2024",30,,,NTC,6,UFA,UFA,2031,"$8,000,000",9.1%,"$8,000,000","$10,000,000","$10,000,000","$10,000,000",$0,$0
30,31. Kevin Fiala,LAK,30,"Jul. 22, 1996",Switzerland,193 lbs - 88 kg,"5'10"" - 178 cm","RW, LW",Left,11 - Round 1 - 2014 (NSH),,,,LAK,Standard (1-way),✔,"Jun. 29, 2022",25,✔,,M-NTC,7,RFA,UFA,2029,"$7,875,000",9.5%,"$7,875,000","$7,750,000","$6,750,000","$7,750,000","$1,000,000",$0
31,32. Sean Couturier,PHI,34,"Dec. 7, 1992",United States,211 lbs - 96 kg,"6'3"" - 191 cm",C,Left,8 - Round 1 - 2011 (PHI),,,,PHI,Standard (1-way),✔,"Aug. 26, 2021",29,,,NMC,8,UFA,UFA,2030,"$7,750,000",9.5%,"$7,750,000","$6,500,000","$1,500,000","$6,500,000","$5,000,000",$0
