,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,0,Nathan MacKinnon,COL,34,"Sep. 1, 1995",Canada,200 lbs - 91 kg,"6'0"" - 183 cm",C,Right,1 - Round 1 - 2013 (COL),,,,COL,Standard (1-way),✔,"Sep. 20, 2022",27,,,NMC,8,UFA,UFA,2031,"$12,600,000 ",15.30%,"$12,600,000 ","$9,900,000 ","$990,000 ","$9,900,000 ","$8,910,000 ",$0 
1,1,William Nylander,TOR,34,1-May-96,Canada,202 lbs - 92 kg,"6'0"" - 183 cm",RW,Right,8 - Round 1 - 2014 (TOR),,,,TOR,Standard (1-way),✔,"Jan. 8, 2024",28,,,NMC,8,UFA,UFA,2032,"$11,500,000 ",13.80%,"$11,500,000 ","$10,000,000 ","$1,000,000 ","$10,000,000 ","$9,000,000 ",$0 
2,2,David Pastrnak,BOS,34,25-May-96,Czech Republic,194 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,25 - Round 1 - 2014 (BOS),,,,BOS,Standard (1-way),✔,"Mar. 2, 2023",27,,,M-NTC,8,UFA,UFA,2031,"$11,250,000 ",13.60%,"$11,250,000 ","$9,000,000 ","$7,000,000 ","$9,000,000 ","$2,000,000 ",$0 
3,3,Jonathan Huberdeau,CGY,37,"Jun. 4, 1993",Canada,202 lbs - 92 kg,"6'1"" - 185 cm","LW, RW",Left,3 - Round 1 - 2011 (FLA),,,,CGY,Standard (1-way),✔,"Aug. 4, 2022",30,,,"M-NTC, NMC",8,UFA,UFA,2031,"$10,500,000 ",12.70%,"$10,500,000 ","$10,500,000 ","$5,500,000 ","$10,500,000 ","$5,000,000 ",$0 
4,4,Sebastian Aho,CAR,32,"Jul. 26, 1997",Finland,176 lbs - 80 kg,"6'0"" - 183 cm",C,Left,35 - Round 2 - 2015 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 26, 2023",26,,,NMC,8,UFA,UFA,2032,"$9,750,000 ",11.70%,"$9,750,000 ","$7,200,000 ","$5,200,000 ","$7,200,000 ","$2,000,000 ",$0 
5,5,Jake Guentzel,TBL,35,"Oct. 6, 1994",United States,180 lbs - 82 kg,"5'11"" - 180 cm","LW, RW",Left,77 - Round 3 - 2013 (PIT),,,,TBL,Standard (1-way),✔,"Jun. 30, 2024",29,,,M-NTC,7,UFA,UFA,2031,"$9,000,000 ",10.20%,"$9,000,000 ","$7,957,895 ","$1,000,000 ","$7,957,895 ","$6,957,895 ",$0 
6,6,Timo Meier,NJD,33,"Oct. 8, 1996",Switzerland,210 lbs - 95 kg,"6'0"" - 183 cm","LW, RW",Left,9 - Round 1 - 2015 (SJS),,,,NJD,Standard (1-way),✔,"Jun. 28, 2023",26,✔,✔,"M-NTC, NMC",8,RFA,UFA,2031,"$8,800,000 ",10.50%,"$8,800,000 ","$7,200,000 ","$7,200,000 ","$7,200,000 ",$0 ,$0 
7,7,Dylan Larkin,DET,33,"Jul. 30, 1996",United States,198 lbs - 90 kg,"6'1"" - 185 cm",C,Left,15 - Round 1 - 2014 (DET),,,,DET,Standard (1-way),✔,"Mar. 1, 2023",26,,,M-NTC,8,UFA,UFA,2031,"$8,700,000 ",10.50%,"$8,700,000 ","$7,100,000 ","$7,100,000 ","$7,100,000 ",$0 ,$0 
8,8,Sam Reinhart,FLA,34,"Nov. 6, 1995",Canada,194 lbs - 88 kg,"6'1"" - 185 cm",RW,Right,2 - Round 1 - 2014 (BUF),,,,FLA,Standard (1-way),✔,"Jun. 30, 2024",28,,,"M-NTC, NMC",8,UFA,UFA,2032,"$8,625,000 ",9.80%,"$8,625,000 ","$6,600,000 ","$1,000,000 ","$6,600,000 ","$5,600,000 ",$0 
9,9,Mark Scheifele,WPG,37,"Mar. 15, 1993",Canada,207 lbs - 94 kg,"6'3"" - 191 cm",C,Right,7 - Round 1 - 2011 (WPG),,,,WPG,Standard (1-way),✔,"Oct. 9, 2023",31,,,M-NTC,7,UFA,UFA,2031,"$8,500,000 ",10.20%,"$8,500,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
10,10,Connor Hellebuyck,WPG,37,19-May-93,United States,207 lbs - 94 kg,"6'4"" - 193 cm",G,Left,130 - Round 5 - 2012 (WPG),,,,WPG,Standard (1-way),✔,"Oct. 9, 2023",31,,,M-NTC,7,UFA,UFA,2031,"$8,500,000 ",10.20%,"$8,500,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
11,11,Bo Horvat,NYI,35,"Apr. 5, 1995",Canada,215 lbs - 98 kg,"6'0"" - 183 cm",C,Left,9 - Round 1 - 2013 (VAN),,,,NYI,Standard (1-way),✔,"Feb. 5, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$8,500,000 ",10.30%,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ",$0 ,$0 
12,12,Pavel Buchnevich,STL,35,"Apr. 17, 1995",Russia,197 lbs - 89 kg,"6'3"" - 191 cm","LW, RW, C",Left,75 - Round 3 - 2013 (NYR),,,,STL,Standard (1-way),✔,"Jul. 2, 2024",30,,,M-NTC,6,UFA,UFA,2031,"$8,000,000 ",9.10%,"$8,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
13,13,Elias Lindholm,BOS,35,"Dec. 2, 1994",Sweden,195 lbs - 88 kg,"6'1"" - 185 cm","C, RW",Right,5 - Round 1 - 2013 (CAR),,,,BOS,Standard (1-way),,"Jul. 1, 2024",29,,,,7,UFA,UFA,2031,"$7,750,000 ",8.80%,"$7,750,000 ","$7,750,000 ","$7,750,000 ","$7,750,000 ",$0 ,$0 
14,14,Juuse Saros,NSH,35,"Apr. 19, 1995",Finland,180 lbs - 82 kg,"5'11"" - 180 cm",G,Left,99 - Round 4 - 2013 (NSH),,,,NSH,Standard (1-way),✔,"Jul. 1, 2024",30,,,,8,UFA,UFA,2033,"$7,740,000 ",8.80%,"$7,740,000 ","$7,740,000 ","$7,740,000 ","$7,740,000 ",$0 ,$0 
15,15,Noah Hanifin,VGK,33,"Jan. 25, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",LD,Left,5 - Round 1 - 2015 (CAR),,,,VGK,Standard (1-way),✔,"Apr. 11, 2024",27,,,M-NTC,8,UFA,UFA,2032,"$7,350,000 ",8.80%,"$7,350,000 ","$5,700,000 ","$5,700,000 ","$5,700,000 ",$0 ,$0 
16,16,Brandon Montour,SEA,36,"Apr. 11, 1994",Canada,189 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,55 - Round 2 - 2014 (ANA),,,,SEA,Standard (1-way),,"Jul. 1, 2024",30,,,M-NTC,7,UFA,UFA,2031,"$7,142,857 ",8.10%,"$7,142,857 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
17,17,Brady Skjei,NSH,36,"Mar. 26, 1994",United States,210 lbs - 95 kg,"6'3"" - 191 cm",LD,Left,28 - Round 1 - 2012 (NYR),,,,NSH,Standard (1-way),,"Jul. 1, 2024",30,,,,7,UFA,UFA,2031,"$7,000,000 ",8.00%,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
18,18,Tom Wilson,WSH,36,"Mar. 29, 1994",Canada,220 lbs - 100 kg,"6'4"" - 193 cm",RW,Right,16 - Round 1 - 2012 (WSH),,,,WSH,Standard (1-way),✔,"Aug. 4, 2023",30,,,M-NTC,7,UFA,UFA,2031,"$6,500,000 ",7.80%,"$6,500,000 ","$5,400,000 ","$900,000 ","$5,400,000 ","$4,500,000 ",$0 
19,19,Jaccob Slavin,CAR,36,1-May-94,United States,207 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,120 - Round 4 - 2012 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 1, 2024",31,,,NMC,8,UFA,UFA,2033,"$6,396,063 ",7.30%,"$6,396,063 ","$5,000,000 ","$1,000,000 ","$5,000,000 ","$4,000,000 ",$0 
20,20,Damon Severson,CBJ,35,"Aug. 7, 1994",Canada,205 lbs - 93 kg,"6'2"" - 188 cm",RD,Right,60 - Round 2 - 2012 (NJD),,,,NJD,Standard (1-way),✔,"Jun. 9, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$6,250,000 ",7.60%,"$6,250,000 ","$5,100,000 ","$5,100,000 ","$5,100,000 ",$0 ,$0 
21,21,Gustav Forsling,FLA,34,"Jun. 12, 1996",Sweden,186 lbs - 84 kg,"6'0"" - 183 cm",LD,Left,126 - Round 5 - 2014 (VAN),,,,FLA,Standard (1-way),✔,"Mar. 7, 2024",28,,,M-NTC,8,UFA,UFA,2032,"$5,750,000 ",6.90%,"$5,750,000 ","$3,915,000 ","$1,000,000 ","$3,915,000 ","$2,915,000 ",$0 
