"Defense (5 - $11,588,333)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Matheson, Michael ""A""",2 UFA,M-NTC,LD,NHL,Trade,30,5.5,"$4,875,000 ","$4,875,000 ",UFA,,,
"Savard, David",1 UFA,,RD,NHL,Signed,33,4,"$3,500,000 ",UFA,,,,
"Harris, Jordan",1 RFA,,LD/RD,NHL,Draft,23,1.6,"$1,400,000 ",RFA,,,,
"Hutson, Lane",2 RFA,ELC,LD,NHL,Draft,20,1.1,"$950,000 ","$950,000 ",RFA,,,
"Guhle, Kaiden",1 RFA,ELC,LD/RD,NHL,Draft,22,1,"$863,333 ",RFA,,,,
"Xhekaj, Arber",0 RFA,,LD/RD,NHL,Signed,23,,RFA,,,,,
TOTAL,,,,,,25.2,13.2,"$11,588,333 ","$5,825,000 ",,,,
