"Goalies (2 - $4,040,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Montembeault, Samuel",3 UFA,,G,NHL,Waivers claim,27,3.6,"$3,150,000 ","$3,150,000 ","$3,150,000 ",UFA,,
"Primeau, Cayden",1 RFA,,G,NHL,Draft,24,1,"$890,000 ",RFA,,,,
TOTAL,,,,,,25.5,4.6,"$4,040,000 ","$3,150,000 ","$3,150,000 ",,,
