Defense (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Reinbacher, David",3 RFA,ELC,RD,Minor,Draft,19,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Engstrom, Adam",3 RFA,ELC,LD,Minor,Draft,20,-,"$896,667 ","$896,667 ","$896,667 ",RFA,,
"Mailloux, Logan",2 RFA,ELC,RD,Minor,Draft,21,-,"$875,000 ","$875,000 ",RFA,,,
"Struble, Jayden",1 RFA,ELC,LD,Minor,Draft,22,-,"$867,500 ",RFA,,,,
"Trudeau, William",1 RFA,ELC,LD,Minor,Draft,21,-,"$856,667 ",RFA,,,,
"Barron, Justin",0 RFA,,RD,Minor,Trade,22,-,RFA,,,,,
TOTAL,,,,,,20.8,-,"$4,414,167 ","$2,690,000 ","$1,815,000 ",,,
