"Injured Reserve (1 - $3,362,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Dach, Kirby",2 RFA,,"C, RW",IR,Trade,23,3.8,"$3,362,500 ","$3,362,500 ",RFA,,,
TOTAL,,,,,,23,3.8,"$3,362,500 ","$3,362,500 ",,,,
