Goalies (2),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Dobes, Jakub",1 RFA,ELC,G,Minor,Draft,23,-,"$925,000 ",RFA,,,,
"Hughes, Connor",1 UFA,,G,Minor,Signed,27,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,25,-,"$1,700,000 ",,,,,
