"Goalies (2 - $5,000,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Oettinger, Jake",1 RFA,,G,NHL,Draft,25,4.5,"$4,000,000 ",RFA,,,,
"DeSmith, Casey",3 UFA,,G,NHL,Signed,32,1.1,"$1,000,000 ","$1,000,000 ","$1,000,000 ",UFA,,
TOTAL,,,,,,28.5,5.7,"$5,000,000 ","$1,000,000 ","$1,000,000 ",,,
