Defense (8),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Bichsel, Lian",3 RFA,ELC,LD,Minor,Draft,20,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Bertucci, Tristan",3 RFA,ELC,LD,Minor,Draft,18,-,"$878,333 ","$878,333 ","$878,333 ",RFA,,
"Kyrou, Christian",2 RFA,ELC,RD,Minor,Draft,20,-,"$878,333 ","$878,333 ",RFA,,,
"Krys, Luke",2 RFA,ELC,RD,Minor,Signed,23,-,"$870,000 ","$870,000 ",RFA,,,
"Punnett, Connor",3 RFA,ELC,LD,Minor,Signed,21,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"White, Gavin",2 RFA,ELC,RD,Minor,Draft,21,-,"$857,500 ","$857,500 ",RFA,,,
"Capobianco, Kyle",2 UFA,,LD,Minor,Signed,26,-,"$775,000 ","$775,000 ",UFA,,,
"Petrovic, Alex",2 UFA,,RD,Minor,Signed,32,-,"$775,000 ","$775,000 ",UFA,,,
TOTAL,,,,,,22.6,-,"$6,822,499 ","$6,822,499 ","$2,666,666 ",,,
