"Defense (6 - $23,500,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Heiskanen, Miro",5 UFA,,LD/RD,NHL,Draft,24,9.6,"$8,450,000 ","$8,450,000 ","$8,450,000 ","$8,450,000 ","$8,450,000 ",UFA
"Lindell, Esa",1 UFA,NMC,LD,NHL,Draft,30,6.6,"$5,800,000 ",UFA,,,,
"Dumba, Matt",2 UFA,,RD,NHL,Signed,29,4.3,"$3,750,000 ","$3,750,000 ",UFA,,,
"Lyubushkin, Ilya",2 UFA,,RD,NHL,Signed,30,3.7,"$3,250,000 ","$3,250,000 ",UFA,,,
"Lundkvist, Nils",1 RFA,,RD,NHL,Signed,23,1.4,"$1,250,000 ",RFA,,,,
"Smith, Brendan",1 UFA,35+,"LD/RD, LW",NHL,Signed,35,1.1,"$1,000,000 ",UFA,,,,
"Harley, Thomas",0 RFA,,LD,NHL,Draft,22,,RFA,,,,,
TOTAL,,,,,,27.6,26.7,"$23,500,000 ","$15,450,000 ","$8,450,000 ","$8,450,000 ","$8,450,000 ",
