"Defense (6 - $26,605,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Sanderson, Jake",8 UFA,,LD,NHL,Draft,21,9.1,"$8,050,000 ","$8,050,000 ","$8,050,000 ","$8,050,000 ","$8,050,000 ","$8,050,000 "
"Chabot, Thomas ""A""",4 UFA,M-NTC,LD,NHL,Draft,27,9.1,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",UFA,
"Zub, Artem",3 UFA,M-NTC,RD,NHL,Signed,28,5.2,"$4,600,000 ","$4,600,000 ","$4,600,000 ",UFA,,
"Jensen, Nick",2 UFA,,RD,NHL,Trade,33,4.6,"$4,050,000 ","$4,050,000 ",UFA,,,
"Hamonic, Travis",1 UFA,NMC,RD,NHL,Signed,33,1.3,"$1,100,000 ",UFA,,,,
"Bernard-Docker, Jacob",1 RFA,,RD,NHL,Draft,24,0.9,"$805,000 ",RFA,,,,
TOTAL,,,,,,27.7,30.2,"$26,605,000 ","$24,700,000 ","$20,650,000 ","$16,050,000 ","$8,050,000 ","$8,050,000 "
