"Goalies (2 - $7,750,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Ullmark, Linus",1 UFA,M-NTC,G,NHL,Trade,30,5.7,"$5,000,000 ",UFA,,,,
"Forsberg, Anton",1 UFA,,G,NHL,Waivers claim,31,3.1,"$2,750,000 ",UFA,,,,
TOTAL,,,,,,30.5,8.8,"$7,750,000 ",,,,,
