Buyout History (1),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"White, Colin","-$625,000$0$875,000$0","$875,000 ","$875,000 ","$875,000 ",,
TOTAL,"-$625,000$0$875,000","$875,000 ","$875,000 ","$875,000 ",,
