Retained Salary (1),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Korpisalo, Joonas","$1,000,000 ","$1,000,000 ","$1,000,000 ","$1,000,000 ",,
TOTAL,"$1,000,000 ","$1,000,000 ","$1,000,000 ","$1,000,000 ",,
