Goalies (2),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Ignatjew, Waltteri",1 RFA,ELC,G,Minor,Signed,24,-,"$870,000 ",RFA,,,,
"Cooley, Devin",2 UFA,,G,Minor,Signed,27,-,"$775,000 ","$775,000 ",UFA,,,
TOTAL,,,,,,25.5,-,"$1,645,000 ","$775,000 ",,,,
