Retained Salary (1),2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Markstrom, Jacob","$1,875,000 ","$1,875,000 ",,,,
TOTAL,"$1,875,000 ","$1,875,000 ",,,,
