"Goalies (1 - $2,200,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Vladar, Daniel",1 UFA,,G,NHL,Trade,26,2.5,"$2,200,000 ",UFA,,,,
"Wolf, Dustin",0 RFA,,G,NHL,Draft,23,,RFA,,,,,
TOTAL,,,,,,24.5,2.5,"$2,200,000 ",,,,,
