Goalies (3),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Kokko, Niklas",3 RFA,ELC,G,Minor,Draft,20,-,"$891,667 ","$891,667 ","$891,667 ",RFA,,
"Ostman, Victor",2 RFA,ELC,G,Minor,Signed,23,-,"$870,000 ","$870,000 ",RFA,,,
"Stezka, Ales",1 UFA,,G,Minor,Signed,27,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,23.3,-,"$2,536,667 ","$1,761,667 ","$891,667 ",,,
