,"Defense (5 - $21,800,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Dunn, Vince",3 UFA,NTC,LD/RD,NHL,Expansion,27.0,8.4,"$7,350,000","$7,350,000","$7,350,000",UFA,,
1,"Oleksiak, Jamie",2 UFA,M-NTC,LD/RD,NHL,Expansion,31.0,5.2,"$4,600,000","$4,600,000",UFA,,,
2,"Larsson, Adam ""A""",1 UFA,M-NTC,RD,NHL,Expansion,31.0,4.5,"$4,000,000",UFA,,,,
3,"Dumoulin, Brian",1 UFA,M-NTC,LD,NHL,Signed,32.0,3.6,"$3,150,000",UFA,,,,
4,"Borgen, William",1 UFA,,RD,NHL,Expansion,27.0,3.1,"$2,700,000",UFA,,,,
5,"Schultz, Justin",0 UFA,,RD,NHL,Signed,33.0,,UFA,,,,,
6,TOTAL,,,,,,30.2,24.8,"$21,800,000","$11,950,000","$7,350,000",,,
