"Goalies (2 - $7,100,000)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Grubauer, Philipp",3 UFA,M-NTC,G,NHL,Signed,32,6.7,"$5,900,000 ","$5,900,000 ","$5,900,000 ",UFA,,
"Daccord, Joey",1 UFA,,G,NHL,Expansion,27,1.4,"$1,200,000 ",UFA,,,,
TOTAL,,,,,,29.5,8.1,"$7,100,000 ","$5,900,000 ","$5,900,000 ",,,
