,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,x_receieved,Team_y,y_receieved
0,"Jun. 30, 2013","Minnesota Wild Acquire:Benn Ferriero · $0$550,000$550,000 (AHL/JR)2014 6th round pick (CBJ - #167 - Chase Lang)Sum: $0$550,000$550,000Change: -$975,000Change: -$425,000Change: +$550,000","New York Rangers Acquire:Justin Falk · $975,000$975,000$975,000Sum: $975,000$975,000$975,000Change: +$975,000Change: +$425,000Change: +$975,000",Minnesota Wild ,"Benn Ferriero · $0$550,000$550,000 (AHL/JR)2014 6th round pick (CBJ - #167 - Chase Lang)Sum: $0$550,000$550,000Change: -$975,000Change: -$425,000Change: +$550,000",New York Rangers ,"Justin Falk · $975,000$975,000$975,000Sum: $975,000$975,000$975,000Change: +$975,000Change: +$425,000Change: +$975,000"
1,"Jun. 30, 2013",Columbus Blue Jackets Acquire:2013 2nd round pick (SJS - #50 - Dillon Heatherington)2013 3rd round pick (PIT - #89 - Oliver Bjorkstrand)Sum: $0$0$0Change: $0Change: $0Change: $0,Pittsburgh Penguins Acquire:2013 2nd round pick (CBJ - #44 - Tristan Jarry)Sum: $0$0$0Change: $0Change: $0Change: $0,Columbus Blue Jackets ,2013 2nd round pick (SJS - #50 - Dillon Heatherington)2013 3rd round pick (PIT - #89 - Oliver Bjorkstrand)Sum: $0$0$0Change: $0Change: $0Change: $0,Pittsburgh Penguins ,2013 2nd round pick (CBJ - #44 - Tristan Jarry)Sum: $0$0$0Change: $0Change: $0Change: $0
2,"Jun. 30, 2013",Florida Panthers Acquire:2013 7th round pick (MTL - #206 - MacKenzie Weegar)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens Acquire:2014 7th round pick (FLA - #182 - Hugo Fagerblom)Sum: $0$0$0Change: $0Change: $0Change: $0,Florida Panthers ,2013 7th round pick (MTL - #206 - MacKenzie Weegar)Sum: $0$0$0Change: $0Change: $0Change: $0,Montreal Canadiens ,2014 7th round pick (FLA - #182 - Hugo Fagerblom)Sum: $0$0$0Change: $0Change: $0Change: $0
3,"Jun. 30, 2013",Edmonton Oilers Acquire:2013 3rd round pick (STL - #83 - Bogdan Yakimov)2013 4th round pick (STL - #113 - Aidan Muir)2013 4th round pick (TBL - #94 - Jackson Houck)Sum: $0$0$0Change: $0Change: $0Change: $0,St. Louis Blues Acquire:2013 2nd round pick (LAK - #57 - William Carrier)Sum: $0$0$0Change: $0Change: $0Change: $0,Edmonton Oilers ,2013 3rd round pick (STL - #83 - Bogdan Yakimov)2013 4th round pick (STL - #113 - Aidan Muir)2013 4th round pick (TBL - #94 - Jackson Houck)Sum: $0$0$0Change: $0Change: $0Change: $0,St. Louis Blues ,2013 2nd round pick (LAK - #57 - William Carrier)Sum: $0$0$0Change: $0Change: $0Change: $0
4,"Jun. 30, 2013","Chicago Blackhawks Acquire:2013 3rd round pick (WPG - #74 - John Hayden)2013 5th round pick (WPG - #134 - Luke Johnson)Sum: $0$0$0Change: -$2,333,333Change: -$2,333,333Change: $0","Winnipeg Jets Acquire:Michael Frolík · $2,333,333$2,333,333$1,900,000Sum: $2,333,333$2,333,333$1,900,000Change: +$2,333,333Change: +$2,333,333Change: +$1,900,000",Chicago Blackhawks ,"2013 3rd round pick (WPG - #74 - John Hayden)2013 5th round pick (WPG - #134 - Luke Johnson)Sum: $0$0$0Change: -$2,333,333Change: -$2,333,333Change: $0",Winnipeg Jets ,"Michael Frolík · $2,333,333$2,333,333$1,900,000Sum: $2,333,333$2,333,333$1,900,000Change: +$2,333,333Change: +$2,333,333Change: +$1,900,000"
5,"Jun. 30, 2013",Washington Capitals Acquire:2013 2nd round pick (CHI - #61 - Zachary Sanford)Sum: $0$0$0Change: $0Change: $0Change: $0,Winnipeg Jets Acquire:2013 3rd round pick (WSH - #84 - James Lodge)2013 4th round pick (WSH - #114 - Jan Kostalek)2013 5th round pick (CGY - #127 - Tucker Poolman)Sum: $0$0$0Change: $0Change: $0Change: $0,Washington Capitals ,2013 2nd round pick (CHI - #61 - Zachary Sanford)Sum: $0$0$0Change: $0Change: $0Change: $0,Winnipeg Jets ,2013 3rd round pick (WSH - #84 - James Lodge)2013 4th round pick (WSH - #114 - Jan Kostalek)2013 5th round pick (CGY - #127 - Tucker Poolman)Sum: $0$0$0Change: $0Change: $0Change: $0
6,"Jun. 30, 2013","Minnesota Wild Acquire:Nino Niederreiter · $870,000$870,000$810,000Sum: $870,000$870,000$810,000Change: -$1,880,000Change: -$1,880,000Change: +$810,000","New York Islanders Acquire:Cal Clutterbuck · $2,750,000$2,750,000$2,000,0002013 3rd round pick (NJD - #70 - Eamon McAdam)Sum: $2,750,000$2,750,000$2,000,000Change: +$1,880,000Change: +$1,880,000Change: +$2,000,000",Minnesota Wild ,"Nino Niederreiter · $870,000$870,000$810,000Sum: $870,000$870,000$810,000Change: -$1,880,000Change: -$1,880,000Change: +$810,000",New York Islanders ,"Cal Clutterbuck · $2,750,000$2,750,000$2,000,0002013 3rd round pick (NJD - #70 - Eamon McAdam)Sum: $2,750,000$2,750,000$2,000,000Change: +$1,880,000Change: +$1,880,000Change: +$2,000,000"
7,"Jun. 30, 2013",Arizona Coyotes Acquire:2013 2nd round pick (NJD - #39 - Laurent Dauphin)Sum: $0$0$0Change: $0Change: $0Change: $0,New Jersey Devils Acquire:2013 2nd round pick (ARI - #42 - Steven Santini)2013 3rd round pick (ARI - #73 - Ryan Kujawinski)Sum: $0$0$0Change: $0Change: $0Change: $0,Arizona Coyotes ,2013 2nd round pick (NJD - #39 - Laurent Dauphin)Sum: $0$0$0Change: $0Change: $0Change: $0,New Jersey Devils ,2013 2nd round pick (ARI - #42 - Steven Santini)2013 3rd round pick (ARI - #73 - Ryan Kujawinski)Sum: $0$0$0Change: $0Change: $0Change: $0
8,"Jun. 30, 2013","Pittsburgh Penguins Acquire:2013 2nd round pick (SJS - #50 - Dillon Heatherington)Sum: $0$0$0Change: -$2,350,000Change: -$2,350,000Change: $0","San Jose Sharks Acquire:Tyler Kennedy · $2,350,000$2,350,000$2,350,000Sum: $2,350,000$2,350,000$2,350,000Change: +$2,350,000Change: +$2,350,000Change: +$2,350,000",Pittsburgh Penguins ,"2013 2nd round pick (SJS - #50 - Dillon Heatherington)Sum: $0$0$0Change: -$2,350,000Change: -$2,350,000Change: $0",San Jose Sharks ,"Tyler Kennedy · $2,350,000$2,350,000$2,350,000Sum: $2,350,000$2,350,000$2,350,000Change: +$2,350,000Change: +$2,350,000Change: +$2,350,000"
9,"Jun. 30, 2013",Edmonton Oilers Acquire:2013 2nd round pick (LAK - #57 - William Carrier)2013 3rd round pick (LAK - #88 - Anton Slepyshev)2013 4th round pick (CAR - #96 - Kyle Platzer)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings Acquire:2013 2nd round pick (EDM - #37 - Valentin Zykov)Sum: $0$0$0Change: $0Change: $0Change: $0,Edmonton Oilers ,2013 2nd round pick (LAK - #57 - William Carrier)2013 3rd round pick (LAK - #88 - Anton Slepyshev)2013 4th round pick (CAR - #96 - Kyle Platzer)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings ,2013 2nd round pick (EDM - #37 - Valentin Zykov)Sum: $0$0$0Change: $0Change: $0Change: $0
10,"Jun. 30, 2013","Buffalo Sabres Acquire:Jamie McBain · $875,000$1,800,000$1,900,000 (AHL/JR)2013 2nd round pick (CAR - #35 - J.T. Compher)Sum: $875,000$1,800,000$1,900,000Change: -$1,875,000Change: -$950,000Change: +$1,900,000","Carolina Hurricanes Acquire:Andrej Sekera · $2,750,000$2,750,000$1,750,000Sum: $2,750,000$2,750,000$1,750,000Change: +$1,875,000Change: +$950,000Change: +$1,750,000",Buffalo Sabres ,"Jamie McBain · $875,000$1,800,000$1,900,000 (AHL/JR)2013 2nd round pick (CAR - #35 - J.T. Compher)Sum: $875,000$1,800,000$1,900,000Change: -$1,875,000Change: -$950,000Change: +$1,900,000",Carolina Hurricanes ,"Andrej Sekera · $2,750,000$2,750,000$1,750,000Sum: $2,750,000$2,750,000$1,750,000Change: +$1,875,000Change: +$950,000Change: +$1,750,000"
11,"Jun. 30, 2013",Detroit Red Wings Acquire:2013 1st round pick (SJS - #20 - Anthony Mantha)2013 2nd round pick (PIT - #58 - Tyler Bertuzzi)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks Acquire:2013 1st round pick (DET - #18 - Mirco Mueller)Sum: $0$0$0Change: $0Change: $0Change: $0,Detroit Red Wings ,2013 1st round pick (SJS - #20 - Anthony Mantha)2013 2nd round pick (PIT - #58 - Tyler Bertuzzi)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks ,2013 1st round pick (DET - #18 - Mirco Mueller)Sum: $0$0$0Change: $0Change: $0Change: $0
12,"Jun. 30, 2013","New Jersey Devils Acquire:Cory Schneider · $4,000,000$4,000,000$4,000,000Sum: $4,000,000$4,000,000$4,000,000Change: +$4,000,000Change: +$4,000,000Change: +$4,000,000","Vancouver Canucks Acquire:2013 1st round pick (NJD - #9 - Bo Horvat)Sum: $0$0$0Change: -$4,000,000Change: -$4,000,000Change: $0",New Jersey Devils ,"Cory Schneider · $4,000,000$4,000,000$4,000,000Sum: $4,000,000$4,000,000$4,000,000Change: +$4,000,000Change: +$4,000,000Change: +$4,000,000",Vancouver Canucks ,"2013 1st round pick (NJD - #9 - Bo Horvat)Sum: $0$0$0Change: -$4,000,000Change: -$4,000,000Change: $0"
13,"Jun. 30, 2013",Chicago Blackhawks Acquire:2014 5th round pick (SJS - #141 - Luc Snuggerud)2013 4th round pick (SJS - #111 - Robin Norell)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks Acquire:2013 4th round pick (ANA - #117 - Fredrik Bergvik)2013 5th round pick (CHI - #151 - Gage Ausmus)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks ,2014 5th round pick (SJS - #141 - Luc Snuggerud)2013 4th round pick (SJS - #111 - Robin Norell)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks ,2013 4th round pick (ANA - #117 - Fredrik Bergvik)2013 5th round pick (CHI - #151 - Gage Ausmus)Sum: $0$0$0Change: $0Change: $0Change: $0
14,"Jun. 30, 2013","Chicago Blackhawks Acquire:2014 4th round pick (TOR - #98 - Fredrik Olofsson)2013 2nd round pick (TOR - #51 - Carl Dahlström)2013 4th round pick (ANA - #117 - Fredrik Bergvik)Sum: $0$0$0Change: -$3,375,000Change: -$3,375,000Change: $0","Toronto Maple Leafs Acquire:Dave Bolland · $3,375,000$3,375,000$3,375,000Sum: $3,375,000$3,375,000$3,375,000Change: +$3,375,000Change: +$3,375,000Change: +$3,375,000",Chicago Blackhawks ,"2014 4th round pick (TOR - #98 - Fredrik Olofsson)2013 2nd round pick (TOR - #51 - Carl Dahlström)2013 4th round pick (ANA - #117 - Fredrik Bergvik)Sum: $0$0$0Change: -$3,375,000Change: -$3,375,000Change: $0",Toronto Maple Leafs ,"Dave Bolland · $3,375,000$3,375,000$3,375,000Sum: $3,375,000$3,375,000$3,375,000Change: +$3,375,000Change: +$3,375,000Change: +$3,375,000"
15,"Jun. 30, 2013",Nashville Predators Acquire:2014 4th round pick (STL - #112 - Viktor Arvidsson)2013 7th round pick (STL - #203 - Janne Juvonen)Sum: $0$0$0Change: $0Change: $0Change: $0,St. Louis Blues Acquire:2013 4th round pick (TOR - #112 - Zachary Pochiro)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators ,2014 4th round pick (STL - #112 - Viktor Arvidsson)2013 7th round pick (STL - #203 - Janne Juvonen)Sum: $0$0$0Change: $0Change: $0Change: $0,St. Louis Blues ,2013 4th round pick (TOR - #112 - Zachary Pochiro)Sum: $0$0$0Change: $0Change: $0Change: $0
16,"Jun. 30, 2013",Los Angeles Kings Acquire:2015 7th round pick (NJD - #187 - Chaz Reddekopp)Sum: $0$0$0Change: $0Change: $0Change: $0,New Jersey Devils Acquire:2013 7th round pick (LAK - #208 - Anthony Brodeur)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings ,2015 7th round pick (NJD - #187 - Chaz Reddekopp)Sum: $0$0$0Change: $0Change: $0Change: $0,New Jersey Devils ,2013 7th round pick (LAK - #208 - Anthony Brodeur)Sum: $0$0$0Change: $0Change: $0Change: $0
17,"Jun. 27, 2013","Calgary Flames Acquire:David Jones · $0$4,000,000$4,000,000Shane O'Brien · $0$0$0 (Signing Rights)Sum: $0$4,000,000$4,000,000Change: -$3,500,000Change: +$500,000Change: +$500,000","Colorado Avalanche Acquire:Alex Tanguay · $3,500,000$3,500,000$3,500,000Cory Sarich · $0$0$0 (Signing Rights)Sum: $3,500,000$3,500,000$3,500,000Change: +$3,500,000Change: -$500,000Change: -$500,000",Calgary Flames ,"David Jones · $0$4,000,000$4,000,000Shane O'Brien · $0$0$0 (Signing Rights)Sum: $0$4,000,000$4,000,000Change: -$3,500,000Change: +$500,000Change: +$500,000",Colorado Avalanche ,"Alex Tanguay · $3,500,000$3,500,000$3,500,000Cory Sarich · $0$0$0 (Signing Rights)Sum: $3,500,000$3,500,000$3,500,000Change: +$3,500,000Change: -$500,000Change: -$500,000"
18,"Jun. 24, 2013","Anaheim Ducks Acquire:Alex Grant · $0$550,000$550,000 (AHL/JR)Sum: $0$550,000$550,000Change: $0Change: $0Change: +$550,000","Pittsburgh Penguins Acquire:Harry Zolnierczyk · $0$550,000$550,000 (AHL/JR)Sum: $0$550,000$550,000Change: $0Change: $0Change: +$550,000",Anaheim Ducks ,"Alex Grant · $0$550,000$550,000 (AHL/JR)Sum: $0$550,000$550,000Change: $0Change: $0Change: +$550,000",Pittsburgh Penguins ,"Harry Zolnierczyk · $0$550,000$550,000 (AHL/JR)Sum: $0$550,000$550,000Change: $0Change: $0Change: +$550,000"
19,"Jun. 23, 2013","Los Angeles Kings Acquire:Ben Scrivens ($62,500 retained - 10.2%) · $550,000$550,000$561,224Matt Frattin ($437,500 retained - 50%) · $437,500$437,500$450,0002015 2nd round pick (TOR - #34 - Travis Dermott)Sum: $987,500$987,500$1,011,224Change: -$1,912,500Change: -$1,912,500Change: -$1,388,776","Toronto Maple Leafs Acquire:Jonathan Bernier · $2,900,000$2,900,000$2,400,000Sum: $2,900,000$2,900,000$2,400,000Change: +$1,912,500Change: +$1,912,500Change: +$1,388,776",Los Angeles Kings ,"Ben Scrivens ($62,500 retained - 10.2%) · $550,000$550,000$561,224Matt Frattin ($437,500 retained - 50%) · $437,500$437,500$450,0002015 2nd round pick (TOR - #34 - Travis Dermott)Sum: $987,500$987,500$1,011,224Change: -$1,912,500Change: -$1,912,500Change: -$1,388,776",Toronto Maple Leafs ,"Jonathan Bernier · $2,900,000$2,900,000$2,400,000Sum: $2,900,000$2,900,000$2,400,000Change: +$1,912,500Change: +$1,912,500Change: +$1,388,776"
20,"Jun. 17, 2013","Calgary Flames Acquire:Corban Knight · $900,000$900,000$900,000Sum: $900,000$900,000$900,000Change: +$900,000Change: +$900,000Change: +$900,000","Florida Panthers Acquire:2013 4th round pick (CGY - #97 - Michael Downing)Sum: $0$0$0Change: -$900,000Change: -$900,000Change: $0",Calgary Flames ,"Corban Knight · $900,000$900,000$900,000Sum: $900,000$900,000$900,000Change: +$900,000Change: +$900,000Change: +$900,000",Florida Panthers ,"2013 4th round pick (CGY - #97 - Michael Downing)Sum: $0$0$0Change: -$900,000Change: -$900,000Change: $0"
21,"Jun. 12, 2013","New York Islanders Acquire:Shane Harper · $0$0$0 (Signing Rights)2014 4th round pick (PHI - #108 - Devon Toews)Sum: $0$0$0Change: -$4,325,000Change: -$5,250,000Change: $0","Philadelphia Flyers Acquire:Mark Streit · $4,325,000$5,250,000$5,000,000 (AHL/JR)Sum: $4,325,000$5,250,000$5,000,000Change: +$4,325,000Change: +$5,250,000Change: +$5,000,000",New York Islanders ,"Shane Harper · $0$0$0 (Signing Rights)2014 4th round pick (PHI - #108 - Devon Toews)Sum: $0$0$0Change: -$4,325,000Change: -$5,250,000Change: $0",Philadelphia Flyers ,"Mark Streit · $4,325,000$5,250,000$5,000,000 (AHL/JR)Sum: $4,325,000$5,250,000$5,000,000Change: +$4,325,000Change: +$5,250,000Change: +$5,000,000"
