,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
0,"Jun. 27, 2012","Calgary Flames Acquire:Dennis Wideman · $5,250,000$5,250,000$5,000,000Sum: $5,250,000$5,250,000$5,000,000Change: +$5,250,000Change: +$5,250,000Change: +$5,000,000","Washington Capitals Acquire:Jordan Henry · $0$0$0 (Signing Rights)2013 5th round pick (CGY - #127 - Tucker Poolman)Sum: $0$0$0Change: -$5,250,000Change: -$5,250,000Change: $0",Calgary Flames ,Dennis Wideman,Washington Capitals ,Jordan Henry
1,"Jun. 23, 2012","Philadelphia Flyers Acquire:Luke Schenn · $3,600,000$3,600,000$3,350,000Sum: $3,600,000$3,600,000$3,350,000Change: -$650,000Change: -$650,000Change: +$850,000","Toronto Maple Leafs Acquire:James van Riemsdyk · $4,250,000$4,250,000$2,500,000Sum: $4,250,000$4,250,000$2,500,000Change: +$650,000Change: +$650,000Change: -$850,000",Philadelphia Flyers ,Luke Schenn,Toronto Maple Leafs ,James van Riemsdyk
2,"Jun. 23, 2012","Boston Bruins Acquire:Michel Ouellet · $0$0$0 (Signing Rights)2012 5th round pick (TBL - #131 - Seth Griffith)Sum: $0$0$0Change: -$1,800,000Change: -$1,800,000Change: $0","Tampa Bay Lightning Acquire:Benoit Pouliot · $1,800,000$1,800,000$1,800,000Sum: $1,800,000$1,800,000$1,800,000Change: +$1,800,000Change: +$1,800,000Change: +$1,800,000",Boston Bruins ,Michel Ouellet,Tampa Bay Lightning ,Benoit Pouliot
3,"Jun. 23, 2012",Chicago Blackhawks Acquire:2013 4th round pick (SJS - #111 - Robin Norell)2012 7th round pick (TBL - #191 - Brandon Whitney)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks Acquire:2012 4th round pick (CHI - #109 - Christophe Lalancette)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks ,2013 4th round pick (SJS - #111 - Robin Norell)2012 7th round pick (TBL - #191 - Brandon Whitney),San Jose Sharks ,2012 4th round pick (CHI - #109 - Christophe Lalancette)
4,"Jun. 23, 2012",Dallas Stars Acquire:2013 7th round pick (FLA - #182 - Aleksi Makela)Sum: $0$0$0Change: $0Change: $0Change: $0,Florida Panthers Acquire:2012 7th round pick (DAL - #194 - Jonatan Nielsen)Sum: $0$0$0Change: $0Change: $0Change: $0,Dallas Stars ,2013 7th round pick (FLA - #182 - Aleksi Makela),Florida Panthers ,2012 7th round pick (DAL - #194 - Jonatan Nielsen)
5,"Jun. 23, 2012",Dallas Stars Acquire:2012 7th round pick (EDM - #183 - Dmitry Sinitsyn)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings Acquire:2013 7th round pick (DAL - #191 - Dominik Kubalik)Sum: $0$0$0Change: $0Change: $0Change: $0,Dallas Stars ,2012 7th round pick (EDM - #183 - Dmitry Sinitsyn),Los Angeles Kings ,2013 7th round pick (DAL - #191 - Dominik Kubalik)
6,"Jun. 23, 2012",Nashville Predators Acquire:2013 5th round pick (NYR - #140 - Teemu Kivihalme)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Rangers Acquire:2012 5th round pick (NSH - #142 - Thomas Spelling)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators ,2013 5th round pick (NYR - #140 - Teemu Kivihalme),New York Rangers ,2012 5th round pick (NSH - #142 - Thomas Spelling)
7,"Jun. 23, 2012",Nashville Predators Acquire:2012 3rd round pick (NYR - #89 - Brendan Leipsic)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Rangers Acquire:2013 3rd round pick (NSH - #65 - Adam Tambellini)Sum: $0$0$0Change: $0Change: $0Change: $0,Nashville Predators ,2012 3rd round pick (NYR - #89 - Brendan Leipsic),New York Rangers ,2013 3rd round pick (NSH - #65 - Adam Tambellini)
8,"Jun. 22, 2012","Toronto Maple Leafs Acquire:2013 7th round pick (WPG - #194 - Marcus Karlstrom) [Conditional]**Conditions: Details Unknown Result: Details not metSum: $0$0$0Change: -$600,000Change: -$1,500,000Change: $0","Winnipeg Jets Acquire:Jonas Gustavsson · $600,000$1,500,000$1,500,000 (AHL/JR)Sum: $600,000$1,500,000$1,500,000Change: +$600,000Change: +$1,500,000Change: +$1,500,000",Toronto Maple Leafs ,2013 7th round pick (WPG - #194 - Marcus Karlstrom) [Conditional]**Conditions: Details Unknown Result: Details not met,Winnipeg Jets ,Jonas Gustavsson
9,"Jun. 22, 2012","Arizona Coyotes Acquire:Zbynek Michalek · $4,000,000$4,000,000$4,000,000Sum: $4,000,000$4,000,000$4,000,000Change: +$4,000,000Change: +$4,000,000Change: +$4,000,000","Pittsburgh Penguins Acquire:Harrison Ruopp · $0$0$0Marc Cheverie · $0$0$02012 3rd round pick (PHI - #81 - Oskar Sundqvist)Sum: $0$0$0Change: -$4,000,000Change: -$4,000,000Change: -$4,000,000",Arizona Coyotes ,Zbynek Michalek,Pittsburgh Penguins ,Harrison Ruopp
10,"Jun. 22, 2012","Dallas Stars Acquire:Cody Eakin · $571,667$571,667$550,0002012 2nd round pick (BOS - #54 - Mike Winther)Sum: $571,667$571,667$550,000Change: -$3,528,333Change: -$4,428,333Change: +$550,000","Washington Capitals Acquire:Mike Ribeiro · $4,100,000$5,000,000$5,000,000 (AHL/JR)Sum: $4,100,000$5,000,000$5,000,000Change: +$3,528,333Change: +$4,428,333Change: +$5,000,000",Dallas Stars ,Cody Eakin,Washington Capitals ,Mike Ribeiro
11,"Jun. 22, 2012","Carolina Hurricanes Acquire:Jordan Staal · $4,000,000$4,000,000$4,500,000Sum: $4,000,000$4,000,000$4,500,000Change: +$1,101,666Change: +$1,101,666Change: +$4,500,000","Pittsburgh Penguins Acquire:Brian Dumoulin · $831,667$831,667$790,000Brandon Sutter · $2,066,667$2,066,667$2,000,0002012 1st round pick (CAR - #8 - Derrick Pouliot)Sum: $2,898,334$2,898,334$2,790,000Change: -$1,101,666Change: -$1,101,666Change: +$2,790,000",Carolina Hurricanes ,Jordan Staal,Pittsburgh Penguins ,Brian Dumoulin
12,"Jun. 22, 2012",Buffalo Sabres Acquire:2012 1st round pick (CGY - #14 - Zemgus Girgensons)Sum: $0$0$0Change: $0Change: $0Change: $0,Calgary Flames Acquire:2012 1st round pick (NSH - #21 - Mark Jankowski)2012 2nd round pick (BUF - #42 - Patrick Sieloff)Sum: $0$0$0Change: $0Change: $0Change: $0,Buffalo Sabres ,2012 1st round pick (CGY - #14 - Zemgus Girgensons),Calgary Flames ,2012 1st round pick (NSH - #21 - Mark Jankowski)2012 2nd round pick (BUF - #42 - Patrick Sieloff)
13,"Jun. 22, 2012","Columbus Blue Jackets Acquire:Sergei Bobrovsky · $900,000$900,000$900,000Sum: $900,000$900,000$900,000Change: +$900,000Change: +$900,000Change: +$900,000","Philadelphia Flyers Acquire:2013 4th round pick (ARI - #103 - Justin Auger)2012 2nd round pick (OTT - #45 - Anthony Stolarz)2012 4th round pick (VAN - #117 - Taylor Leier)Sum: $0$0$0Change: -$900,000Change: -$900,000Change: $0",Columbus Blue Jackets ,Sergei Bobrovsky,Philadelphia Flyers ,2013 4th round pick (ARI - #103 - Justin Auger)2012 2nd round pick (OTT - #45 - Anthony Stolarz)2012 4th round pick (VAN - #117 - Taylor Leier)
14,"Jun. 22, 2012","Anaheim Ducks Acquire:2013 2nd round pick (NYI - #45 - Nick Sörensen)Sum: $0$0$0Change: -$4,700,000Change: -$5,600,000Change: $0","New York Islanders Acquire:Lubomir Visnovsky · $4,700,000$5,600,000$3,000,000 (AHL/JR)Sum: $4,700,000$5,600,000$3,000,000Change: +$4,700,000Change: +$5,600,000Change: +$3,000,000",Anaheim Ducks ,2013 2nd round pick (NYI - #45 - Nick Sörensen),New York Islanders ,Lubomir Visnovsky
15,"Jun. 15, 2012","Nashville Predators Acquire:Sebastien Caron · $0$0$0 (Signing Rights)2013 3rd round pick (TBL - #64 - Jonathan-Ismael Diaby)2012 2nd round pick (MIN - #37 - Pontus Åberg)2012 2nd round pick (PHI - #50 - Colton Sissons)Sum: $0$0$0Change: -$2,350,000Change: -$2,350,000Change: $0","Tampa Bay Lightning Acquire:Anders Lindbäck · $1,800,000$1,800,000$1,400,000Kyle Wilson · $550,000$550,000$550,0002012 7th round pick (NSH - #202 - Nikita Gusev)Sum: $2,350,000$2,350,000$1,950,000Change: +$2,350,000Change: +$2,350,000Change: +$1,950,000",Nashville Predators ,Sebastien Caron,Tampa Bay Lightning ,Anders Lindbäck
16,"Jun. 10, 2012","Detroit Red Wings Acquire:Andrew Murray · $600,000$600,000$600,0002014 7th round pick (SJS - #201 - Alexander Kadeykin)Sum: $600,000$600,000$600,000Change: -$3,000,000Change: -$3,000,000Change: +$600,000","San Jose Sharks Acquire:Brad Stuart · $3,600,000$3,600,000$3,600,000Sum: $3,600,000$3,600,000$3,600,000Change: +$3,000,000Change: +$3,000,000Change: +$3,600,000",Detroit Red Wings ,Andrew Murray,San Jose Sharks ,Brad Stuart
17,"Jun. 4, 2012","Pittsburgh Penguins Acquire:Tomas Vokoun · $2,000,000$2,000,000$2,000,000Sum: $2,000,000$2,000,000$2,000,000Change: +$2,000,000Change: +$2,000,000Change: +$2,000,000","Washington Capitals Acquire:2012 7th round pick (PIT - #203 - Sergei Kostenko)Sum: $0$0$0Change: -$2,000,000Change: -$2,000,000Change: $0",Pittsburgh Penguins ,Tomas Vokoun,Washington Capitals ,2012 7th round pick (PIT - #203 - Sergei Kostenko)
18,26-May-12,"Boston Bruins Acquire:Chris Bourque · $0$0$0 (Signing Rights)Sum: $0$0$0Change: -$700,000Change: -$700,000Change: -$700,000","Washington Capitals Acquire:Zach Hamill · $700,000$700,000$700,000Sum: $700,000$700,000$700,000Change: +$700,000Change: +$700,000Change: +$700,000",Boston Bruins ,Chris Bourque,Washington Capitals ,Zach Hamill
19,"Mar. 20, 2012",Boston Bruins Acquire:Future Considerations,New York Islanders Acquire:Yury Alexandrov,Boston Bruins ,Future Considerations,New York Islanders ,Yury Alexandrov
20,"Feb. 27, 2012",Anaheim Ducks Acquire:Sebastian Erixon,Vancouver Canucks Acquire:Andrew Gordon,Anaheim Ducks ,Sebastian Erixon,Vancouver Canucks ,Andrew Gordon
21,"Feb. 27, 2012",Buffalo Sabres Acquire:Cody HodgsonAlexander Sulzer,Vancouver Canucks Acquire:Zack KassianMarc-Andre Gragnani,Buffalo Sabres ,Cody HodgsonAlexander Sulzer,Vancouver Canucks ,Zack KassianMarc-Andre Gragnani
22,"Feb. 27, 2012",Anaheim Ducks Acquire:Dale Mitchell,Toronto Maple Leafs Acquire:Mark Fraser,Anaheim Ducks ,Dale Mitchell,Toronto Maple Leafs ,Mark Fraser
23,"Feb. 27, 2012",Boston Bruins Acquire:Greg Zanon,Minnesota Wild Acquire:Steven Kampfer,Boston Bruins ,Greg Zanon,Minnesota Wild ,Steven Kampfer
24,"Feb. 27, 2012",Boston Bruins Acquire:Brian RolstonMike Mottau,New York Islanders Acquire:Yannick RiendeauMarc Cantin,Boston Bruins ,Brian RolstonMike Mottau,New York Islanders ,Yannick RiendeauMarc Cantin
25,"Feb. 27, 2012",Ottawa Senators Acquire:Matt Gilroy,Tampa Bay Lightning Acquire:Brian Lee,Ottawa Senators ,Matt Gilroy,Tampa Bay Lightning ,Brian Lee
26,"Feb. 27, 2012",Detroit Red Wings Acquire:2013 7th round pick (TBL - #184 - Saku Salminen) [Conditional]**Conditions: Details unknown Result: Conditions not met,Tampa Bay Lightning Acquire:Mike Commodore,Detroit Red Wings ,2013 7th round pick (TBL - #184 - Saku Salminen) [Conditional]**Conditions: Details unknown Result: Conditions not met,Tampa Bay Lightning ,Mike Commodore
27,"Feb. 27, 2012",Edmonton Oilers Acquire:Nick Schultz,Minnesota Wild Acquire:Tom Gilbert,Edmonton Oilers ,Nick Schultz,Minnesota Wild ,Tom Gilbert
28,"Feb. 27, 2012",Tampa Bay Lightning Acquire:Keith Aulie,Toronto Maple Leafs Acquire:Carter Ashton,Tampa Bay Lightning ,Keith Aulie,Toronto Maple Leafs ,Carter Ashton
29,"Feb. 27, 2012",Chicago Blackhawks Acquire:Johnny Oduya,Winnipeg Jets Acquire:2013 3rd round pick (CHI - #91 - JC Lipon)2013 2nd round pick (CHI - #61 - Zachary Sanford),Chicago Blackhawks ,Johnny Oduya,Winnipeg Jets ,2013 3rd round pick (CHI - #91 - JC Lipon)2013 2nd round pick (CHI - #61 - Zachary Sanford)
30,"Feb. 27, 2012",Chicago Blackhawks Acquire:2012 5th round pick (NYR - #149 - Travis Brown),New York Rangers Acquire:John Scott,Chicago Blackhawks ,2012 5th round pick (NYR - #149 - Travis Brown),New York Rangers ,John Scott
31,"Feb. 27, 2012",Columbus Blue Jackets Acquire:Taylor Ellington2012 4th round pick (VAN - #117 - Taylor Leier)2012 4th round pick (NYI - #95 - Josh Anderson),Vancouver Canucks Acquire:Samuel Pahlsson,Columbus Blue Jackets ,Taylor Ellington2012 4th round pick (VAN - #117 - Taylor Leier)2012 4th round pick (NYI - #95 - Josh Anderson),Vancouver Canucks ,Samuel Pahlsson
32,"Feb. 27, 2012",Colorado Avalanche Acquire:Michael SgarbossaJamie McGinnMike Connolly,San Jose Sharks Acquire:Daniel WinnikTJ Galiardi2013 7th round pick (ANA - #207 - Emil Galimov),Colorado Avalanche ,Michael SgarbossaJamie McGinnMike Connolly,San Jose Sharks ,Daniel WinnikTJ Galiardi2013 7th round pick (ANA - #207 - Emil Galimov)
33,"Feb. 27, 2012",Montreal Canadiens Acquire:2013 2nd round pick (NSH - #34 - Jacob De La Rose)2013 5th round pick (MTL - #146 - Patrik Bartosak),Nashville Predators Acquire:Andrei Kostitsyn,Montreal Canadiens ,2013 2nd round pick (NSH - #34 - Jacob De La Rose)2013 5th round pick (MTL - #146 - Patrik Bartosak),Nashville Predators ,Andrei Kostitsyn
34,"Feb. 27, 2012",Buffalo Sabres Acquire:2012 1st round pick (NSH - #21 - Mark Jankowski),Nashville Predators Acquire:Paul Gaustad2013 4th round pick (BUF - #99 - Juuse Saros),Buffalo Sabres ,2012 1st round pick (NSH - #21 - Mark Jankowski),Nashville Predators ,Paul Gaustad2013 4th round pick (BUF - #99 - Juuse Saros)
35,"Feb. 26, 2012",Ottawa Senators Acquire:Ben Bishop,St. Louis Blues Acquire:2013 2nd round pick (OTT - #47 - Thomas Vannelli),Ottawa Senators ,Ben Bishop,St. Louis Blues ,2013 2nd round pick (OTT - #47 - Thomas Vannelli)
36,"Feb. 25, 2012",Florida Panthers Acquire:Wojtek Wolski,New York Rangers Acquire:Michael Vernace2013 3rd round pick (FLA - #62 - Yan-Pavel Laplante),Florida Panthers ,Wojtek Wolski,New York Rangers ,Michael Vernace2013 3rd round pick (FLA - #62 - Yan-Pavel Laplante)
37,"Feb. 24, 2012",Florida Panthers Acquire:Jerred Smithson,Nashville Predators Acquire:2012 6th round pick (DAL - #164 - Simon Fernholm),Florida Panthers ,Jerred Smithson,Nashville Predators ,2012 6th round pick (DAL - #164 - Simon Fernholm)
38,"Feb. 24, 2012",Minnesota Wild Acquire:Stephane VeilleuxKurtis FosterNick Palmieri2013 3rd round pick (NJD - #70 - Eamon McAdam)2012 2nd round pick (WSH - #46 - Raphael Bussieres),New Jersey Devils Acquire:Marek Zidlicky,Minnesota Wild ,Stephane VeilleuxKurtis FosterNick Palmieri2013 3rd round pick (NJD - #70 - Eamon McAdam)2012 2nd round pick (WSH - #46 - Raphael Bussieres),New Jersey Devils ,Marek Zidlicky
