,Buyout History (1),Years Remaining,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Richards, Brad",,,,,,,,$0,$0,,,,
1,TOTAL,,,,,,,,$0,$0,,,,
