"Goalies (2 - $6,941,667)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Shesterkin, Igor",1 UFA,M-NTC,G,NHL,Draft,28,6.4,"$5,666,667 ",UFA,,,,
"Quick, Jonathan",1 UFA,35+M-NTC,G,NHL,Signed,38,1.4,"$1,275,000 ",UFA,,,,
TOTAL,,,,,,33,7.9,"$6,941,667 ",,,,,
