"Defense (4 - $22,184,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Fox, Adam",5 UFA,,RD,NHL,Trade,26,10.8,"$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",UFA
"Trouba, Jacob ""C""",2 UFA,M-NTC,RD,NHL,Trade,30,9.1,"$8,000,000 ","$8,000,000 ",UFA,,,
"Miller, K'Andre",1 RFA,,LD,NHL,Draft,24,4.4,"$3,872,000 ",RFA,,,,
"Jones, Zachary",1 RFA,,LD,NHL,Draft,23,0.9,"$812,500 ",RFA,,,,
"Lindgren, Ryan",0 RFA,,LD,NHL,Trade,26,,RFA,,,,,
"Schneider, Braden",0 RFA,,RD,NHL,Draft,22,,RFA,,,,,
TOTAL,,,,,,25.2,25.2,"$22,184,500 ","$17,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",
