Goalies (4),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Ollas, Hugo",2 RFA,ELC,G,Minor,Draft,22,-,"$855,000 ","$855,000 ",RFA,,,
"Boyko, Talyn",1 RFA,ELC,G,Minor,Draft,21,-,"$850,833 ",RFA,,,,
"Garand, Dylan",1 RFA,ELC,G,Minor,Draft,22,-,"$828,333 ",RFA,,,,
"Domingue, Louis",1 UFA,,G,Minor,Signed,32,-,"$775,000 ",UFA,,,,
TOTAL,,,,,,24.3,-,"$3,309,166 ","$855,000 ",,,,
