"Goalies (2 - $4,237,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Georgiev, Alexandar",1 UFA,,G,NHL,Trade,28,3.9,"$3,400,000 ",UFA,,,,
"Annunen, Justus",2 RFA,,G,NHL,Draft,24,1,"$837,500 ","$837,500 ",RFA,,,
TOTAL,,,,,,26,4.8,"$4,237,500 ","$837,500 ",,,,
