Goalies (1),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Miner, Trent",1 RFA,,G,Minor,Draft,23,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,23,-,"$775,000 ",,,,,
